Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,Prey,1.00750988264521,0.826,12.4885477506437
SqExp,5,Predator,1.02904003374868,0.94,18.3761275212675
Matern 1/2,5,Prey,1.00750975229949,0.826,12.4885485125144
Matern 1/2,5,Predator,1.02903961932204,0.94,18.3761285142707
Matern 3/2,5,Prey,1.00750970486891,0.826,12.488546701975
Matern 3/2,5,Predator,1.0290396691372,0.94,18.376128523827
Matern 5/2,5,Prey,1.00750984282346,0.826,12.4885471029555
Matern 5/2,5,Predator,1.02903986768949,0.94,18.3761283947405
RatQuad,5,Prey,1.00750988033006,0.826,12.4885474509108
RatQuad,5,Predator,1.02904001556214,0.94,18.3761300680965
Periodic,5,Prey,1.00750989783394,0.826,12.4885491694456
Periodic,5,Predator,1.02904006830358,0.94,18.3761286257132
SqExp,10,Prey,1.00373019381612,0.89,25.800084651156
SqExp,10,Predator,0.534131977631221,0.736,34.6571475430215
Matern 1/2,10,Prey,0.625344776566441,0.916,26.0708784855044
Matern 1/2,10,Predator,0.701097466251552,0.88,36.072383070905
Matern 3/2,10,Prey,0.622788963239726,0.874,26.0024153381375
Matern 3/2,10,Predator,0.757397652818763,0.784,33.8935251661495
Matern 5/2,10,Prey,0.627170123116683,0.832,25.9569448293883
Matern 5/2,10,Predator,0.697121158162141,0.76,33.9074974369961
RatQuad,10,Prey,1.00372979416918,0.89,25.80008462342
RatQuad,10,Predator,0.5478958880204,0.726,34.5798540705403
Periodic,10,Prey,1.00373020458677,0.89,25.8000874269637
Periodic,10,Predator,1.05819308468212,0.868,37.7802144664463
SqExp,25,Prey,1.00137787065487,0.938,68.7462358787759
SqExp,25,Predator,1.04227158208349,0.878,95.4801798348925
Matern 1/2,25,Prey,0.259555397287368,0.952,70.7147999642082
Matern 1/2,25,Predator,0.126432286136781,0.96,93.1313677794804
Matern 3/2,25,Prey,0.220310135832574,0.834,70.3733777329666
Matern 3/2,25,Predator,0.0777230703845214,0.808,86.6036905890633
Matern 5/2,25,Prey,0.216479419995113,0.774,71.1777027437089
Matern 5/2,25,Predator,0.0748648463314428,0.938,87.0975871692828
RatQuad,25,Prey,0.220074884354802,0.924,71.1664017037535
RatQuad,25,Predator,1.04227139726064,0.878,95.4802687477026
Periodic,25,Prey,1.00137783758213,0.938,68.7462636211369
Periodic,25,Predator,1.04227158117704,0.878,95.4803398228122
SqExp,50,Prey,0.998949945665646,0.908,133.965704785318
SqExp,50,Predator,0.998156883342886,1,195.034064563369
Matern 1/2,50,Prey,0.0101461075899235,0.99,131.683041508531
Matern 1/2,50,Predator,0.00544488791807852,0.984,170.779894375916
Matern 3/2,50,Prey,0.00772886455137745,0.758,130.616930775495
Matern 3/2,50,Predator,0.00733709532848089,0.672,173.949772973329
Matern 5/2,50,Prey,0.00796579004031622,0.524,131.537930166193
Matern 5/2,50,Predator,0.00588566256539612,0.98,183.004537079624
RatQuad,50,Prey,0.00785245866508351,0.97,134.394237561373
RatQuad,50,Predator,0.00582623794142562,1,194.796059553197
Periodic,50,Prey,0.998950084988391,0.908,133.965837809249
Periodic,50,Predator,0.998156883717163,1,195.034733249897
