Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,Prey,1.00761022066737,0.836,12.3916218751259
SqExp,5,Predator,1.04177231020428,0.944,17.9878667367375
Matern 1/2,5,Prey,1.00761009522507,0.836,12.391622539781
Matern 1/2,5,Predator,1.04175881217071,0.944,17.9878678419363
Matern 3/2,5,Prey,1.00760997130284,0.836,12.3916201682644
Matern 3/2,5,Predator,1.04176971309363,0.944,17.9878676293845
Matern 5/2,5,Prey,1.00761018371448,0.836,12.391621358555
Matern 5/2,5,Predator,1.04177168194042,0.944,17.9878667015441
RatQuad,5,Prey,1.0076102171891,0.836,12.3916215271969
RatQuad,5,Predator,1.04177212903393,0.944,17.9878669553328
Periodic,5,Prey,1.00761024570232,0.836,12.391623250689
Periodic,5,Predator,1.04177246785569,0.944,17.9878684053231
SqExp,10,Prey,1.00578821383373,0.894,25.8615599977044
SqExp,10,Predator,0.572239076491196,0.872,34.6365891931839
Matern 1/2,10,Prey,0.62581190735787,0.916,26.0822539813055
Matern 1/2,10,Predator,0.728673841113948,0.862,36.0816337279954
Matern 3/2,10,Prey,0.63732552326966,0.88,25.9655880522804
Matern 3/2,10,Predator,0.837302155007108,0.79,33.4926490692534
Matern 5/2,10,Prey,0.648720898476954,0.844,25.9011153536253
Matern 5/2,10,Predator,0.762331491897444,0.794,33.5784605170993
RatQuad,10,Prey,1.00578734087853,0.894,25.8615576012705
RatQuad,10,Predator,0.60787127744883,0.8,34.4114068981065
Periodic,10,Prey,1.0057882175973,0.894,25.8615602874823
Periodic,10,Predator,1.05070781871909,0.868,38.1932430392462
SqExp,25,Prey,1.0033651897359,0.934,68.73365104059
SqExp,25,Predator,1.03539763875617,0.886,95.4466924697907
Matern 1/2,25,Prey,0.239824111311606,0.958,71.0906483118828
Matern 1/2,25,Predator,0.110050552444997,0.98,92.8445040439508
Matern 3/2,25,Prey,0.192028689063592,0.954,70.9333157886698
Matern 3/2,25,Predator,0.0579929668689472,0.98,86.2773411087892
Matern 5/2,25,Prey,0.186960363055086,0.956,71.6585554217897
Matern 5/2,25,Predator,0.0536915970373312,1,88.3098743284612
RatQuad,25,Prey,0.188026390733488,0.948,72.083630082034
RatQuad,25,Predator,1.03539750622627,0.886,95.4467971084798
Periodic,25,Prey,1.00336517284398,0.934,68.7336802194111
Periodic,25,Predator,1.03539763799774,0.886,95.4468730323573
SqExp,50,Prey,0.998087840907558,0.908,133.28052284217
SqExp,50,Predator,0.998038535403427,1,198.191403350839
Matern 1/2,50,Prey,0.00330001995853109,1,130.797052227508
Matern 1/2,50,Predator,0.0010481705882168,1,169.418912165643
Matern 3/2,50,Prey,0.000220039450384146,0.998,129.612679745034
Matern 3/2,50,Predator,9.2775508500285e-05,0.998,161.927879111258
Matern 5/2,50,Prey,0.000165012471325478,0.996,130.047766924599
Matern 5/2,50,Predator,8.37780372861372e-05,1,173.319548974286
RatQuad,50,Prey,0.000146116990326809,0.986,133.896101178524
RatQuad,50,Predator,8.24103598281881e-05,1,194.388175433086
Periodic,50,Prey,0.998087938099525,0.908,133.280639617207
Periodic,50,Predator,0.998038535864684,1,198.192067834441
