Kernel,N,State,RMSE,MAE,R2
SqExp,5,Prey,2.55515029974115,1.96660164867206,-0.00964068317882583
SqExp,5,Predator,2.91779329648582,2.41733161752002,-0.0454125586383309
Matern 1/2,5,Prey,2.55515013959939,1.96660147709926,-0.00964055662217711
Matern 1/2,5,Predator,2.91776072841265,2.41730371415186,-0.0453892212191049
Matern 3/2,5,Prey,2.55514999833495,1.96660137280506,-0.00964044498388339
Matern 3/2,5,Predator,2.91778468927651,2.41732421332194,-0.0454063909146281
Matern 5/2,5,Prey,2.55515025238794,1.96660160499317,-0.00964064575658852
Matern 5/2,5,Predator,2.91779198384987,2.41733051507713,-0.0454116180331132
RatQuad,5,Prey,2.55515029495854,1.96660164418711,-0.00964067939923452
RatQuad,5,Predator,2.91779303833839,2.4173314035006,-0.0454123736556911
Periodic,5,Prey,2.55515033291316,1.96660167934314,-0.00964070939396922
Periodic,5,Predator,2.91779356185562,2.41733187421615,-0.0454127487963745
SqExp,10,Prey,2.6234853814908,1.84811170314844,-0.0643665963227671
SqExp,10,Predator,2.87322120868035,2.44144504372221,-0.0137171541283176
Matern 1/2,10,Prey,2.62348506662355,1.84811129398679,-0.0643663408350421
Matern 1/2,10,Predator,2.13789044976232,1.48854172223194,0.438758775974824
Matern 3/2,10,Prey,2.62348535471895,1.84811163990492,-0.0643665745997082
Matern 3/2,10,Predator,1.97613509997626,1.25773610995438,0.52047425036569
Matern 5/2,10,Prey,2.6234853870811,1.84811170485161,-0.0643666008588182
Matern 5/2,10,Predator,1.92944009582746,1.19940170986531,0.542868374996347
RatQuad,10,Prey,2.62348538558849,1.8481117070105,-0.0643665996476925
RatQuad,10,Predator,2.87322113105103,2.44144495570835,-0.0137170993506546
Periodic,10,Prey,2.62348539662797,1.84811172194665,-0.0643666086052843
Periodic,10,Predator,2.87322130950867,2.44144507253244,-0.0137172252759166
SqExp,25,Prey,2.55696671736564,2.16228992856296,-0.0110766699289848
SqExp,25,Predator,2.85783268986092,2.46475939093206,-0.00288761483233224
Matern 1/2,25,Prey,0.589552471967419,0.396114361228131,0.946249950496244
Matern 1/2,25,Predator,0.921582057965627,0.49164026616943,0.895709033879219
Matern 3/2,25,Prey,0.392072096644831,0.227547085610368,0.976227995190644
Matern 3/2,25,Predator,0.603464943395772,0.243288315883913,0.955281959932104
Matern 5/2,25,Prey,2.55696587877494,2.16228908830856,-0.0110760067374358
Matern 5/2,25,Predator,0.588238031375852,0.247601367738609,0.957510182304945
RatQuad,25,Prey,2.55696646430159,2.1622896730033,-0.011076469795646
RatQuad,25,Predator,0.655359702711393,0.331497986072956,0.947260241609425
Periodic,25,Prey,2.55696674183515,2.16228995325595,-0.0110766892804675
Periodic,25,Predator,2.8578334886506,2.46476006938694,-0.0028881754644472
SqExp,50,Prey,2.54334629533558,2.03842348956934,-0.000333774860587832
SqExp,50,Predator,2.85372069840571,2.49015050779222,-3.68218900415052e-06
Matern 1/2,50,Prey,0.154321099794548,0.0821336378755012,0.996317145522978
Matern 1/2,50,Predator,0.103615699610951,0.0589943704773741,0.998681652815507
Matern 3/2,50,Prey,0.0311825606838938,0.0157338034104706,0.9998496312839
Matern 3/2,50,Predator,0.0165329625428165,0.00801182491301784,0.999966435511573
Matern 5/2,50,Prey,0.0270029244109851,0.014309383942653,0.999887239877082
Matern 5/2,50,Predator,0.0146377245754658,0.00794242371864866,0.999973689699339
RatQuad,50,Prey,0.0361195124744173,0.0189705491719253,0.999798248069645
RatQuad,50,Predator,0.0295601860485184,0.013724570056606,0.999892701662021
Periodic,50,Prey,2.54334642317319,2.0384236125881,-0.000333875421235641
Periodic,50,Predator,2.8537207015421,2.49015051115815,-3.68438711961794e-06
