Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,Prey,0.889962969691566,0.962,14.0130736182148
SqExp,5,Predator,1.61467391848948,0.122,18.5144486201027
Matern 1/2,5,Prey,0.75726540382232,0.99,14.0130739245999
Matern 1/2,5,Predator,1.0630425926451,1,15.1204611218478
Matern 3/2,5,Prey,0.709032402961681,0.988,14.0130739343293
Matern 3/2,5,Predator,1.38118457244615,0.256,15.6280193159949
Matern 5/2,5,Prey,0.717091376090573,0.992,14.013073869678
Matern 5/2,5,Predator,1.47789140657923,0.288,18.8366536248375
RatQuad,5,Prey,0.888249406527883,0.992,14.0130730873348
RatQuad,5,Predator,1.3930335030359,0.472,18.6428562956105
Periodic,5,Prey,1.00363178512975,0.984,14.0130739258743
Periodic,5,Predator,1.06304263350805,0.838,19.7156116370539
SqExp,10,Prey,1.01262916914188,0.802,29.1452001763037
SqExp,10,Predator,0.445584717870956,1,38.8668325335578
Matern 1/2,10,Prey,0.924663707908396,0.838,24.4392627451374
Matern 1/2,10,Predator,0.761067414376997,1,38.8668364527943
Matern 3/2,10,Prey,0.900683740086301,0.842,24.4392627381269
Matern 3/2,10,Predator,0.657797842714578,1,38.8668358258523
Matern 5/2,10,Prey,0.849226918055879,0.838,24.4392616299782
Matern 5/2,10,Predator,0.607603407980744,1,38.8668304682335
RatQuad,10,Prey,0.971149109160922,0.836,24.4392626736175
RatQuad,10,Predator,0.995462289423501,1,38.8668360265453
Periodic,10,Prey,1.01262916947307,0.83,24.4392620315227
Periodic,10,Predator,1.00439165662982,1,38.8668353657937
SqExp,25,Prey,0.00680814136905759,1,66.6031234285814
SqExp,25,Predator,0.0141084488933041,1,63.3321744210871
Matern 1/2,25,Prey,0.0277798358421885,1,61.2702204852411
Matern 1/2,25,Predator,0.019965498341127,1,66.0183995960129
Matern 3/2,25,Prey,0.00069778720618384,1,60.4035999633658
Matern 3/2,25,Predator,0.00494234198427813,1,60.957811748633
Matern 5/2,25,Prey,0.00155441737778214,1,66.4864044946576
Matern 5/2,25,Predator,0.00448518936785766,1,61.5092730968082
RatQuad,25,Prey,0.00652104479638608,1,66.6016563609403
RatQuad,25,Predator,0.00542117666983092,1,64.1646433640067
Periodic,25,Prey,0.99806355253374,0.91,66.6404058441351
Periodic,25,Predator,0.999936704711916,0.992,97.9595402993702
SqExp,50,Prey,7.06968361801509e-05,0.824,139.218813616459
SqExp,50,Predator,0.000123248097083973,1,67.528740491982
Matern 1/2,50,Prey,0.00323714300445396,1,91.1357047782438
Matern 1/2,50,Predator,0.00124542893213504,1,169.847238727089
Matern 3/2,50,Prey,0.000113112322151406,1,73.1232041424065
Matern 3/2,50,Predator,3.18902032774061e-05,1,161.62805042269
Matern 5/2,50,Prey,6.42409212952818e-05,1,129.559359073704
Matern 5/2,50,Predator,1.69396846082103e-05,1,52.9795298476104
RatQuad,50,Prey,8.46420598011009e-05,1,64.2777721849244
RatQuad,50,Predator,0.000149449899868627,1,198.236914420916
Periodic,50,Prey,0.998042539143157,0.904,132.591892616027
Periodic,50,Predator,0.998358304336568,1,197.940563145422
