Kernel,N,State,RMSE,MAE,R2
SqExp,5,Prey,2.55136977627534,2.13745449851439,-0.00665522548734998
SqExp,5,Predator,3.68049744779941,3.01620668413881,-0.66338090056667
Matern 1/2,5,Prey,2.55135996468613,2.13744715224,-0.00664748308273788
Matern 1/2,5,Predator,2.78245536052936,2.21553098047063,0.0493184187899995
Matern 3/2,5,Prey,2.55136931944958,2.13745411544091,-0.00665486500177881
Matern 3/2,5,Predator,3.35975172657955,2.73197282909736,-0.38609513829169
Matern 5/2,5,Prey,2.55136944146014,2.13745417641378,-0.00665496128146881
Matern 5/2,5,Predator,3.52222838363688,2.87389440636224,-0.523399096312259
RatQuad,5,Prey,2.55137164550748,2.13745603567541,-0.00665670051696976
RatQuad,5,Predator,2.94485733932442,2.41102761383543,-0.0648959859479137
Periodic,5,Prey,2.55137184288188,2.13745610254182,-0.00665685626712631
Periodic,5,Predator,2.94503897829875,2.41119444174244,-0.0650273556936405
SqExp,10,Prey,2.56035606005287,1.95045994924048,-0.013758876559385
SqExp,10,Predator,2.85955108443143,2.52295334411303,-0.00409403587954627
Matern 1/2,10,Prey,2.56035590163337,1.95045980579298,-0.0137587511087349
Matern 1/2,10,Predator,2.85955069962399,2.52295302105516,-0.00409376563934538
Matern 3/2,10,Prey,2.5603560060318,1.95045989433215,-0.0137588337806955
Matern 3/2,10,Predator,2.85955103118086,2.52295330366488,-0.0040939984830628
Matern 5/2,10,Prey,2.56035607924042,1.95045997019671,-0.0137588917537934
Matern 5/2,10,Predator,2.85955107365424,2.52295333721269,-0.00409402831100603
RatQuad,10,Prey,2.56035605769203,1.95045994690744,-0.0137588746898649
RatQuad,10,Predator,2.85955108289707,2.52295334356478,-0.00409403480200421
Periodic,10,Prey,2.56035608174194,1.95045997288775,-0.0137588937347202
Periodic,10,Predator,2.85955108998802,2.52295334941059,-0.00409403978179768
SqExp,25,Prey,2.54304132040219,2.06528484543903,-9.38874053020289e-05
SqExp,25,Predator,2.85848491076505,2.463122857672,-0.00334542953210315
Matern 1/2,25,Prey,0.441667630632609,0.347810945948512,0.969833489094782
Matern 1/2,25,Predator,0.450652342416639,0.306112532559296,0.975061981989478
Matern 3/2,25,Prey,2.54303800641365,2.06528184663962,-9.12808432382839e-05
Matern 3/2,25,Predator,0.268900254720688,0.192005372551878,0.991121060517987
Matern 5/2,25,Prey,2.54304114082486,2.06528467370726,-9.37461616821178e-05
Matern 5/2,25,Predator,2.85848453506812,2.46312251628574,-0.00334516578834387
RatQuad,25,Prey,2.54304127858491,2.06528480520725,-9.38545146049741e-05
RatQuad,25,Predator,2.85848490494172,2.46312285302391,-0.0033454254440537
Periodic,25,Prey,2.54304135201989,2.06528487595223,-9.39122736884901e-05
Periodic,25,Predator,2.85848491133422,2.46312285821921,-0.00334542993166576
SqExp,50,Prey,2.54320187409729,2.04166630653334,-0.000220172288290854
SqExp,50,Predator,2.85456307556887,2.47761102327898,-0.000594142632220462
Matern 1/2,50,Prey,0.154462696541951,0.112286277339236,0.996310384043739
Matern 1/2,50,Predator,0.147446587471642,0.117756022412375,0.997330388159353
Matern 3/2,50,Prey,0.119130192483247,0.0974393609288316,0.997805287555558
Matern 3/2,50,Predator,0.127479498479525,0.104174639735387,0.998004464945866
Matern 5/2,50,Prey,0.120824117060638,0.0996567807536852,0.997742430133908
Matern 5/2,50,Predator,0.115887443533478,0.0936658023400545,0.998350883133098
RatQuad,50,Prey,0.117536809334496,0.0962037409289282,0.997863604111576
RatQuad,50,Predator,0.114622905280178,0.0914565364800582,0.998386676377693
Periodic,50,Prey,2.54320209670695,2.04166653434144,-0.00022034738935317
Periodic,50,Predator,2.85456307687712,2.4776110247805,-0.000594143549372372
