Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,Prey,1.00756556103229,0.832,12.4225724875215
SqExp,5,Predator,1.03584407277191,0.942,18.1639342289088
Matern 1/2,5,Prey,1.00756543826879,0.832,12.4225731755077
Matern 1/2,5,Predator,1.03584316106024,0.942,18.1639359163706
Matern 3/2,5,Prey,1.00756538606328,0.832,12.4225716334607
Matern 3/2,5,Predator,1.03584341091817,0.942,18.1639347280834
Matern 5/2,5,Prey,1.00756552538034,0.832,12.4225719286808
Matern 5/2,5,Predator,1.03584375406089,0.942,18.1639348370451
RatQuad,5,Prey,1.007565558443,0.832,12.4225721676429
RatQuad,5,Predator,1.03584360185616,0.942,18.1639345056255
Periodic,5,Prey,1.00756558163028,0.832,12.4225737301712
Periodic,5,Predator,1.03584413484682,0.942,18.1639359438155
SqExp,10,Prey,1.00483463692079,0.894,25.8245127572295
SqExp,10,Predator,0.537934191638661,0.782,34.7588862016754
Matern 1/2,10,Prey,0.623969346705463,0.916,26.0707375706217
Matern 1/2,10,Predator,0.717006990994581,0.866,36.0820407693691
Matern 3/2,10,Prey,0.628479719651054,0.88,25.9732817141996
Matern 3/2,10,Predator,0.804728072733115,0.792,33.6538645172975
Matern 5/2,10,Prey,0.636339803027152,0.832,25.9120369476826
Matern 5/2,10,Predator,0.73536897851247,0.776,33.7179252741548
RatQuad,10,Prey,1.00483356887219,0.894,25.8245058541399
RatQuad,10,Predator,0.583094994764727,0.762,34.4916458792752
Periodic,10,Prey,1.00483463851065,0.894,25.8245114685857
Periodic,10,Predator,1.05397326835102,0.868,38.0204153549222
SqExp,25,Prey,1.00242542784968,0.936,68.7256482748845
SqExp,25,Predator,1.03838116972741,0.884,95.4931863407586
Matern 1/2,25,Prey,0.246961211172734,0.958,70.9157569626276
Matern 1/2,25,Predator,0.116386134044134,0.972,92.9853417402972
Matern 3/2,25,Prey,0.200900114010236,0.912,70.6359565050267
Matern 3/2,25,Predator,0.0650589298253152,0.904,86.2310849593535
Matern 5/2,25,Prey,0.195352567731326,0.878,71.4139562016805
Matern 5/2,25,Predator,0.0613433060709845,0.962,87.7810820729313
RatQuad,25,Prey,0.19712138116041,0.932,71.6334493209103
RatQuad,25,Predator,1.03838101694292,0.884,95.493285006816
Periodic,25,Prey,1.00242540368527,0.936,68.7256804725422
Periodic,25,Predator,1.03838116890732,0.884,95.4933590100605
SqExp,50,Prey,0.998357439250714,0.908,133.563627718824
SqExp,50,Predator,0.99808127968625,1,196.813385047328
Matern 1/2,50,Prey,0.00516158748509245,0.994,131.119080667962
Matern 1/2,50,Predator,0.00180320667940252,0.992,169.682362337827
Matern 3/2,50,Prey,0.00205407650283687,0.916,129.901042496648
Matern 3/2,50,Predator,0.00182025171245627,0.848,165.925817240874
Matern 5/2,50,Prey,0.00206408308953002,0.764,130.422388534897
Matern 5/2,50,Predator,0.00187188866423096,0.674,182.289146672673
RatQuad,50,Prey,0.00217566661990356,0.976,134.088035533133
RatQuad,50,Predator,0.00188331325122885,1,195.171793162474
Periodic,50,Prey,0.998357552183984,0.908,133.56375454653
Periodic,50,Predator,0.99808128008809,1,196.813995623519
