Kernel,N,State,NLPD,MSLL,CRPS
SqExp,5,Prey,2.66620797997051,0.144161960502451,1.42293165449898
SqExp,5,Predator,2.48627510129334,-0.0136114640004369,1.66002925297254
Matern 1/2,5,Prey,2.66620800365066,0.144161984182604,1.42293154731157
Matern 1/2,5,Predator,2.48627466715901,-0.0136118981347704,1.66002851349443
Matern 3/2,5,Prey,2.66620753512317,0.144161515655112,1.42293146899203
Matern 3/2,5,Predator,2.48627478743804,-0.0136117778557394,1.66002870537194
Matern 5/2,5,Prey,2.66620778894039,0.144161769472337,1.42293160613029
Matern 5/2,5,Predator,2.48627494949838,-0.0136116157953937,1.66002897911874
RatQuad,5,Prey,2.66620790543321,0.144161885965154,1.42293164488158
RatQuad,5,Predator,2.48627487812288,-0.0136116871708985,1.66002884878746
Periodic,5,Prey,2.66620833028202,0.144162310813961,1.4229317049566
Periodic,5,Predator,2.48627512756738,-0.0136114377263969,1.66002930282359
SqExp,10,Prey,2.3569895718675,0.00104829208227518,1.39925280724376
SqExp,10,Predator,2.2657728982847,-0.23926572686362,0.93645952622025
Matern 1/2,10,Prey,1.88272424766203,-0.473217032123194,0.977181625838988
Matern 1/2,10,Predator,1.95470240822874,-0.550336216919582,1.19564333067342
Matern 3/2,10,Prey,1.74173630127013,-0.614204978515098,0.943319210743705
Matern 3/2,10,Predator,1.76562973745952,-0.739408887688805,1.17437514706779
Matern 5/2,10,Prey,1.82823714509413,-0.527704134691092,0.950082447040855
Matern 5/2,10,Predator,1.80575535456533,-0.699283270582993,1.10792354324317
RatQuad,10,Prey,2.35698892475697,0.00104764497174918,1.39925193682208
RatQuad,10,Predator,2.12106180930324,-0.383976815845088,0.976396910203271
Periodic,10,Prey,2.35698955425442,0.00104827446919436,1.39925282453448
Periodic,10,Predator,2.51989960651368,0.0148609813653515,1.68012657267173
SqExp,25,Prey,2.36355724491308,-0.00398662816864061,1.43844209724607
SqExp,25,Predator,2.50210486973655,0.00484066867841915,1.67025694798775
Matern 1/2,25,Prey,1.23996319368685,-1.12758067939487,0.526333639973818
Matern 1/2,25,Predator,1.14451663409104,-1.35274756696709,0.448479014296013
Matern 3/2,25,Prey,0.733698606455595,-1.63384526662613,0.403349133329243
Matern 3/2,25,Predator,0.412749920898564,-2.08451428015957,0.267672420187628
Matern 5/2,25,Prey,0.713244783440457,-1.65429908964126,0.383124010847104
Matern 5/2,25,Predator,0.329892502407286,-2.16737169865084,0.257716457397852
RatQuad,25,Prey,0.829327504679955,-1.53821636840177,0.417055720600955
RatQuad,25,Predator,2.50210477045622,0.00484056939809038,1.67025678789891
Periodic,25,Prey,2.36355712530415,-0.003986747777575,1.43844203128338
Periodic,25,Predator,2.50210499679657,0.00484079573844031,1.67025700577913
SqExp,50,Prey,2.35254836967046,0.000116482578231787,1.41998374805812
SqExp,50,Predator,2.46802502229671,-0.000507510902748295,1.65549261466026
Matern 1/2,50,Prey,0.478235135348105,-1.87419675174412,0.16621899254833
Matern 1/2,50,Predator,0.380131771916476,-2.08840076128298,0.146165055325358
Matern 3/2,50,Prey,-0.31491575156327,-2.6673476386555,0.0692656852181658
Matern 3/2,50,Predator,-0.150828271368886,-2.61936080456834,0.0712718841153377
Matern 5/2,50,Prey,-0.00695810862251246,-2.35938999571474,0.0679363599258488
Matern 5/2,50,Predator,0.56534646070109,-1.90318607249836,0.074833347656811
RatQuad,50,Prey,-0.692301802053546,-3.04473368914577,0.0670474921416574
RatQuad,50,Predator,-0.458077934599896,-2.92661046779935,0.076690522572105
Periodic,50,Prey,2.3525484401152,0.000116553022975976,1.41998382874007
Periodic,50,Predator,2.46802502874316,-0.000507504456292345,1.65549260446515
