Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,Prey,1.00762141884678,0.972,11.9082176060748
SqExp,5,Predator,1.04332190928831,1,15.5363382240135
Matern 1/2,5,Prey,1.00762141341396,1,17.8652418280354
Matern 1/2,5,Predator,1.04332184029527,1,15.7538920552994
Matern 3/2,5,Prey,1.00762141280836,1,16.3960518290295
Matern 3/2,5,Predator,1.04332187614631,1,15.8736333679614
Matern 5/2,5,Prey,1.00762141987558,0.872,11.5765028513296
Matern 5/2,5,Predator,1.04332190041892,1,15.4415656508245
RatQuad,5,Prey,1.00762141968692,1,16.7121261942975
RatQuad,5,Predator,1.04332190889369,1,15.428161557486
Periodic,5,Prey,1.00762142797518,0.836,12.3866733916644
Periodic,5,Predator,1.04332192329878,0.944,17.9434188991534
SqExp,10,Prey,1.00440284631782,0.962,25.0412088956038
SqExp,10,Predator,0.256122777813249,0.954,37.7967505781105
Matern 1/2,10,Prey,0.703311445546576,0.924,25.5712320706312
Matern 1/2,10,Predator,0.358249306070194,1,36.7029758319661
Matern 3/2,10,Prey,1.00440284587936,1,26.4707643577402
Matern 3/2,10,Predator,0.279515237970292,1,38.1296984566599
Matern 5/2,10,Prey,1.00440284564357,0.992,25.1316541616977
Matern 5/2,10,Predator,0.251076772085714,1,38.0207579524579
RatQuad,10,Prey,1.00440284625941,1,27.0228214981412
RatQuad,10,Predator,0.998233385209132,1,32.6233201735461
Periodic,10,Prey,1.00440285249328,0.882,25.6022431194185
Periodic,10,Predator,0.998233386681661,1,38.0372239533735
SqExp,25,Prey,0.161210646739467,0.89,45.6387886978819
SqExp,25,Predator,0.132555165647369,0.694,82.332212000825
Matern 1/2,25,Prey,0.204418544607221,0.966,53.4958179397955
Matern 1/2,25,Predator,0.172754596567889,0.98,88.1907576487565
Matern 3/2,25,Prey,0.165708020269801,0.948,62.8503740631416
Matern 3/2,25,Predator,0.127512623631405,0.878,78.1787140711742
Matern 5/2,25,Prey,0.164564694792285,0.954,62.8338624693784
Matern 5/2,25,Predator,0.121449727273484,0.804,45.6968639229174
RatQuad,25,Prey,0.15138796623628,0.738,43.9885606550273
RatQuad,25,Predator,0.123183172584154,0.78,80.697072209679
Periodic,25,Prey,1.00630222488749,0.882,63.8542034855861
Periodic,25,Predator,1.09042000066493,0.834,94.5330394578795
SqExp,50,Prey,0.000234494242415923,0.758,64.2564333687606
SqExp,50,Predator,8.59222262002136e-05,0.552,231.740506155277
Matern 1/2,50,Prey,0.00312375477738851,1,129.278184784158
Matern 1/2,50,Predator,0.00460917587096742,1,89.3281202868229
Matern 3/2,50,Prey,0.000467964807690512,1,128.223517595882
Matern 3/2,50,Predator,0.000586223308282312,1,159.415235675719
Matern 5/2,50,Prey,0.000416245609093926,1,128.552039093995
Matern 5/2,50,Predator,0.000262332398746659,0.986,167.85134112918
RatQuad,50,Prey,0.000262998554952671,0.768,131.746659254104
RatQuad,50,Predator,0.000101452091424817,0.83,48.3014929619295
Periodic,50,Prey,0.998908213674106,0.902,131.572318710127
Periodic,50,Predator,1.00040318719938,0.968,196.66786957872
