Kernel,N,State,NLPD,MSLL,CRPS
SqExp,5,Prey,2.39176940113813,-0.0449592185205889,1.45558329479669
SqExp,5,Predator,70.6371256408345,68.1258901314462,2.84537299933462
Matern 1/2,5,Prey,2.39176674695669,-0.0449618727020347,1.45557852075589
Matern 1/2,5,Predator,2.45080464843736,-0.0604308609508933,1.57717105814121
Matern 3/2,5,Prey,2.39176925257157,-0.0449593670871539,1.4555830634044
Matern 3/2,5,Predator,6.67422358125761,4.16298807186935,2.26215724034264
Matern 5/2,5,Prey,2.39176929385659,-0.0449593258021297,1.45558311533112
Matern 5/2,5,Predator,14.7166971301925,12.2054616208042,2.52832007154566
RatQuad,5,Prey,2.39176998604144,-0.0449586336172783,1.45558430046158
RatQuad,5,Predator,2.55421878008769,0.0429832706994387,1.69338446764049
Periodic,5,Prey,2.3917698641167,-0.0449587555420226,1.45558429029149
Periodic,5,Predator,2.55431413096701,0.0430786215787543,1.69351129937151
SqExp,10,Prey,2.64095947785949,0.0706484622273596,1.41442819156089
SqExp,10,Predator,2.48474382377884,-0.0139969112151363,1.66420992088047
Matern 1/2,10,Prey,2.64095947790649,0.0706484622743524,1.41442809609561
Matern 1/2,10,Predator,2.48474370102106,-0.0139970339729116,1.66420970161903
Matern 3/2,10,Prey,2.64095941656765,0.0706484009355108,1.41442815119945
Matern 3/2,10,Predator,2.48474381440808,-0.0139969205858904,1.66420989258084
Matern 5/2,10,Prey,2.6409604263828,0.0706494107506657,1.41442829085716
Matern 5/2,10,Predator,2.48474381917265,-0.0139969158213217,1.6642099152085
RatQuad,10,Prey,2.64095949523038,0.0706484795982477,1.41442819166261
RatQuad,10,Predator,2.48474382239115,-0.0139969126028266,1.66420992006353
Periodic,10,Prey,2.64095993550902,0.0706489198768859,1.4144282479021
Periodic,10,Predator,2.48474385822518,-0.0139968767687984,1.66420992732382
SqExp,25,Prey,2.35324500465249,-0.00161600426503341,1.41909370795847
SqExp,25,Predator,2.46938779650087,9.52610354709043e-05,1.65386398044903
Matern 1/2,25,Prey,1.2856126393346,-1.06924836958293,0.386334026063743
Matern 1/2,25,Predator,1.08161765941105,-1.38767487605436,0.32879672200362
Matern 3/2,25,Prey,2.35324378316662,-0.00161722575090726,1.41909180034984
Matern 3/2,25,Predator,0.431533015471516,-2.03775951999389,0.159311328844214
Matern 5/2,25,Prey,2.35324493022557,-0.00161607869196315,1.41909359385515
Matern 5/2,25,Predator,2.46938765838275,9.51229173456842e-05,1.65386373576858
RatQuad,25,Prey,2.35324498848067,-0.00161602043685803,1.41909368229306
RatQuad,25,Predator,2.4693877957397,9.52602743002702e-05,1.65386398146939
Periodic,25,Prey,2.3532449995948,-0.00161600932273277,1.41909371259486
Periodic,25,Predator,2.46938781202414,9.52765587367845e-05,1.65386403194826
SqExp,50,Prey,2.35241060694832,-0.000239647067308007,1.41247258257155
SqExp,50,Predator,2.46786260829507,-0.000147242423756031,1.65521539712076
Matern 1/2,50,Prey,0.460613963186563,-1.89203629082906,0.164082329254362
Matern 1/2,50,Predator,0.370457901356884,-2.09755194936194,0.148333359174205
Matern 3/2,50,Prey,-0.245287314032149,-2.59793756804777,0.0725297785472243
Matern 3/2,50,Predator,-0.0449569783977667,-2.51296682911659,0.0762073654199959
Matern 5/2,50,Prey,0.169069546868375,-2.18358070714725,0.073842229159499
Matern 5/2,50,Predator,-0.618807446497122,-3.08681729721594,0.0686296982629138
RatQuad,50,Prey,-0.695856126513991,-3.04850638052962,0.067509787870863
RatQuad,50,Predator,-0.420520558195038,-2.88853040891386,0.0756566820487157
Periodic,50,Prey,2.35241068675739,-0.000239567258232004,1.41247269632728
Periodic,50,Predator,2.46786260752034,-0.000147243198478591,1.65521541967882
