Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,Prey,1.00739901330991,0.814,12.7229293725407
SqExp,5,Predator,1.01745309463679,0.944,18.7496859759028
Matern 1/2,5,Prey,1.00739888090844,0.814,12.7229302586138
Matern 1/2,5,Predator,1.01745279656716,0.944,18.7496860632128
Matern 3/2,5,Prey,1.00739877802278,0.814,12.7229264925904
Matern 3/2,5,Predator,1.01745296498467,0.944,18.7496861628018
Matern 5/2,5,Prey,1.0073989715655,0.814,12.722928558035
Matern 5/2,5,Predator,1.01745305534871,0.944,18.7496856529384
RatQuad,5,Prey,1.00739901065243,0.814,12.7229293288137
RatQuad,5,Predator,1.01745289837514,0.944,18.7496858660386
Periodic,5,Prey,1.00739901788696,0.814,12.7229310570152
Periodic,5,Predator,1.01745310094328,0.944,18.7496876901607
SqExp,10,Prey,1.00181312222351,0.89,25.8197845768119
SqExp,10,Predator,0.536790319960691,0.69,34.3470506071054
Matern 1/2,10,Prey,0.640702250857638,0.91,26.1067702106945
Matern 1/2,10,Predator,0.671141938007725,0.92,35.9717406300601
Matern 3/2,10,Prey,0.632063794611377,0.85,26.0776606193866
Matern 3/2,10,Predator,0.671645998577859,0.8,34.3059080262175
Matern 5/2,10,Prey,0.634500477228782,0.836,26.0540500827599
Matern 5/2,10,Predator,0.632574810476439,0.76,34.1847656106681
RatQuad,10,Prey,1.00181313122291,0.89,25.8197877896421
RatQuad,10,Predator,0.536791028878817,0.69,34.347051467928
Periodic,10,Prey,1.00181313652042,0.89,25.819786390055
Periodic,10,Predator,1.06709273164828,0.868,37.2322101430467
SqExp,25,Prey,0.999706573550419,0.948,68.8927474569655
SqExp,25,Predator,1.05058906892619,0.868,95.1936263055203
Matern 1/2,25,Prey,0.296058737862943,0.942,70.4326843648461
Matern 1/2,25,Predator,0.153589258522923,0.934,93.245847221732
Matern 3/2,25,Prey,0.281908074222747,0.744,70.2097963030491
Matern 3/2,25,Predator,0.114038920644892,0.754,87.8901139641175
Matern 5/2,25,Prey,0.280026676313978,0.884,70.4563627379746
Matern 5/2,25,Predator,0.111010563750597,0.908,86.525684638292
RatQuad,25,Prey,0.280531657623455,0.922,70.5421776428708
RatQuad,25,Predator,1.05058878837436,0.868,95.1936901341784
Periodic,25,Prey,0.999706523193333,0.948,68.8927702735712
Periodic,25,Predator,1.05058906782561,0.868,95.1937561623814
SqExp,50,Prey,1.00098663223198,0.908,134.907121481507
SqExp,50,Predator,0.998382001836466,1,191.41731115776
Matern 1/2,50,Prey,0.0289652535883634,0.954,133.247081705663
Matern 1/2,50,Predator,0.0216889023094157,0.96,174.168722401191
Matern 3/2,50,Prey,0.0302462905893133,0.57,132.887794494984
Matern 3/2,50,Predator,0.0244297507712724,0.916,181.035074507195
Matern 5/2,50,Prey,0.0297872526272966,0.744,134.083210978034
Matern 5/2,50,Predator,0.0191339770867252,0.99,182.903026928646
RatQuad,50,Prey,0.0267149111557042,0.946,135.191936180419
RatQuad,50,Predator,0.0182831019571177,1,190.235688576582
Periodic,50,Prey,1.00098686792665,0.908,134.907240199017
Periodic,50,Predator,0.998382002141371,1,191.417947778933
