Kernel,N,State,NLPD,MSLL,CRPS
SqExp,5,Prey,2.41233843969175,-0.0632480450734966,1.44339297298022
SqExp,5,Predator,2.85177955706215,0.34581703329301,1.97004608703412
Matern 1/2,5,Prey,3.57475104559149,1.09916456082624,3.45610148869637
Matern 1/2,5,Predator,2.59343902290872,0.087476499139578,1.71859140843261
Matern 3/2,5,Prey,3.28235334008616,0.806766855320908,2.65616242308554
Matern 3/2,5,Predator,2.57546039861615,0.0694978748470106,1.70640864976804
Matern 5/2,5,Prey,2.3857647592597,-0.089821725505553,1.39541484464738
Matern 5/2,5,Predator,2.70274987674709,0.196787352977951,1.80813655232993
RatQuad,5,Prey,3.34517593249976,0.869589447734509,2.80674924300157
RatQuad,5,Predator,2.74019028272257,0.234227758953427,1.84454967053019
Periodic,5,Prey,2.59587846975659,0.12029198499134,1.4158528882546
Periodic,5,Predator,2.49021474110872,-0.0157477826604193,1.66319491026305
SqExp,10,Prey,2.40069725258701,0.043760197524507,1.43666097039595
SqExp,10,Predator,1.55634953725519,-0.938903965127851,0.76050013013897
Matern 1/2,10,Prey,2.06446942495676,-0.292467630105746,1.11710497946415
Matern 1/2,10,Predator,1.99727924777258,-0.497974254610466,0.988957140692859
Matern 3/2,10,Prey,2.59645893342628,0.239521878363769,1.58960470282424
Matern 3/2,10,Predator,1.89492905440475,-0.600324447978294,0.869865317581896
Matern 5/2,10,Prey,2.41878192847198,0.0618448734094706,1.44883149774934
Matern 5/2,10,Predator,1.52687591544334,-0.968377586939699,0.766280201393513
RatQuad,10,Prey,2.6598798268158,0.302942771753292,1.6511630201587
RatQuad,10,Predator,2.66418447863315,0.168930976250108,1.76356411342427
Periodic,10,Prey,2.36420796633014,0.00727091126763432,1.39798695051191
Periodic,10,Predator,2.48166118063065,-0.0135923217523895,1.65621993411932
SqExp,25,Prey,0.69758643523851,-1.66306977322135,0.422239147135567
SqExp,25,Predator,0.96548375264643,-1.59501551690786,0.386283149376674
Matern 1/2,25,Prey,1.220581336729,-1.14007487173086,0.538804071349347
Matern 1/2,25,Predator,1.17262312287558,-1.38787614667871,0.545888417136907
Matern 3/2,25,Prey,1.07813185183954,-1.28252435662032,0.467887492931293
Matern 3/2,25,Predator,0.224036426039865,-2.33646284351442,0.390591329980671
Matern 5/2,25,Prey,1.14953095655285,-1.21112525190701,0.477903336209602
Matern 5/2,25,Predator,0.00360747874767577,-2.55689179080661,0.375325747195914
RatQuad,25,Prey,0.491922602735296,-1.86873360572456,0.392167283739409
RatQuad,25,Predator,0.154153124654162,-2.40634614490013,0.367226787837324
Periodic,25,Prey,2.36391829139975,0.00326208293988651,1.39654341002109
Periodic,25,Predator,2.57151104642039,0.0110117768660983,1.70611399358625
SqExp,50,Prey,-1.69336305647894,-4.04607806078929,0.0143907134412885
SqExp,50,Predator,4.63973961672069,2.17095875600049,0.0100756714692086
Matern 1/2,50,Prey,0.37971490431091,-1.97300009999944,0.15637103164931
Matern 1/2,50,Predator,0.284248035517716,-2.18453282520249,0.145419450433821
Matern 3/2,50,Prey,-1.30508050549927,-3.65779550980962,0.0356860917780603
Matern 3/2,50,Predator,-1.33113786207516,-3.79991872279536,0.0317592010461729
Matern 5/2,50,Prey,-1.73403094203761,-4.08674594634796,0.022542310548146
Matern 5/2,50,Predator,-2.49290509319935,-4.96168595391955,0.0144478274565477
RatQuad,50,Prey,-1.6328491199603,-3.98556412427065,0.0143152649113869
RatQuad,50,Predator,-2.66737014116218,-5.13615100188239,0.0094700208439453
Periodic,50,Prey,2.35287508286152,0.000160078551165029,1.40855139128435
Periodic,50,Predator,2.46897032932948,0.000189468609273576,1.65456046873209
