Kernel,N,State,RMSE,MAE,R2
SqExp,5,Prey,2.55515032133916,1.96660166888392,-0.00964070024727692
SqExp,5,Predator,2.91779354226451,2.41733187094542,-0.0454127347578228
Matern 1/2,5,Prey,2.55515031445082,1.96660166175867,-0.00964069480356944
Matern 1/2,5,Predator,2.91779344579024,2.41733178665408,-0.0454126656265261
Matern 3/2,5,Prey,2.55515031368297,1.96660166143046,-0.00964069419675684
Matern 3/2,5,Predator,2.91779349592143,2.41733183977124,-0.045412701549411
Matern 5/2,5,Prey,2.55515032264358,1.9666016696087,-0.00964070127813343
Matern 5/2,5,Predator,2.91779352986228,2.41733186440519,-0.0454127258706616
RatQuad,5,Prey,2.55515032240437,1.96660166963141,-0.00964070108909376
RatQuad,5,Predator,2.91779354171271,2.4173318691185,-0.0454127343624178
Periodic,5,Prey,2.55515033291316,1.96660167934314,-0.00964070939396922
Periodic,5,Predator,2.91779356185562,2.41733187421615,-0.0454127487963745
SqExp,10,Prey,2.55106619099541,1.9823415032705,-0.00641567767316342
SqExp,10,Predator,1.44567109156514,1.10296454601524,0.743363950086925
Matern 1/2,10,Prey,2.13472335881074,1.55167289973772,0.295279112678782
Matern 1/2,10,Predator,1.70977150138545,1.34467782429253,0.641032759448704
Matern 3/2,10,Prey,2.55106619043859,1.98234150366638,-0.00641567723382708
Matern 3/2,10,Predator,1.51024754836453,1.17236307891135,0.719924611252213
Matern 5/2,10,Prey,2.55106619013916,1.98234150355178,-0.00641567699756829
Matern 5/2,10,Predator,1.43135929745003,1.08500602982634,0.748420068050387
RatQuad,10,Prey,2.55106619092123,1.98234150318285,-0.00641567761463735
RatQuad,10,Predator,2.85404909978288,2.4967378686774,-0.000233852914961696
Periodic,10,Prey,2.55106619883789,1.98234150722636,-0.00641568386100122
Periodic,10,Predator,2.85404910188794,2.49673787066467,-0.000233854390441879
SqExp,25,Prey,1.02203229661618,0.551990246093961,0.838466285832198
SqExp,25,Predator,1.04002486701113,0.521483934108688,0.867179192738107
Matern 1/2,25,Prey,1.15087433633484,0.660550026722068,0.795171798990761
Matern 1/2,25,Predator,1.18729927025301,0.684863575411769,0.826899201835782
Matern 3/2,25,Prey,1.03619030405767,0.535751324823705,0.833959899529258
Matern 3/2,25,Predator,1.0200512346635,0.529812008559127,0.872231840048693
Matern 5/2,25,Prey,1.03260944732601,0.529180364917032,0.835105516240195
Matern 5/2,25,Predator,0.995505507338925,0.498351632591207,0.878306886499515
RatQuad,25,Prey,0.990406397694443,0.529066241033776,0.848308651065852
RatQuad,25,Predator,1.00258473429365,0.492264280099215,0.876569967350547
Periodic,25,Prey,2.55347715184071,1.9726230108037,-0.00831886261271397
Periodic,25,Predator,2.98292476264042,2.40770457057106,-0.0926052110871045
SqExp,50,Prey,0.0389792834856634,0.018374371846444,0.999765035829243
SqExp,50,Predator,0.0264787912294071,0.0116467666717314,0.99991390558497
Matern 1/2,50,Prey,0.142267672471412,0.0734988745450582,0.996869985192998
Matern 1/2,50,Predator,0.193935375265541,0.0782289230444065,0.99538158730364
Matern 3/2,50,Prey,0.0550648368500636,0.0209888684914174,0.999531097387084
Matern 3/2,50,Predator,0.0691634957845662,0.0205989517841808,0.999412601895509
Matern 5/2,50,Prey,0.0519329020971903,0.02028841919985,0.999582920231369
Matern 5/2,50,Predator,0.0462670021231107,0.0154800385730701,0.999737141885023
RatQuad,50,Prey,0.0412804517087686,0.0186715870025633,0.999736474393835
RatQuad,50,Predator,0.0287723872734372,0.0117508453921379,0.999898344597771
Periodic,50,Prey,2.54407875829606,2.0272549678261,-0.000910033741589267
Periodic,50,Predator,2.85714925650538,2.46665742567966,-0.00240800320578827
