Kernel,N,State,NLPD,MSLL,CRPS
SqExp,5,Prey,2.3911837175412,-0.0448876541740473,1.45410085921903
SqExp,5,Predator,88.972880328524,86.4572595274284,2.83892400301125
Matern 1/2,5,Prey,2.39118002138799,-0.0448913503272608,1.45409416039636
Matern 1/2,5,Predator,2.46678070270812,-0.0488400983875214,1.58876219225492
Matern 3/2,5,Prey,2.39118358025256,-0.0448877914626908,1.45410065777743
Matern 3/2,5,Predator,7.42229254269369,4.90667174159805,2.2939789216973
Matern 5/2,5,Prey,2.39118362020852,-0.0448877515067336,1.45410070565412
Matern 5/2,5,Predator,17.2381693939802,14.7225485928846,2.5488484861874
RatQuad,5,Prey,2.39118438415437,-0.0448869875608804,1.45410202402231
RatQuad,5,Predator,2.56381747225841,0.0481966711627705,1.69619320694633
Periodic,5,Prey,2.39118426775882,-0.0448871039564337,1.45410203129735
Periodic,5,Predator,2.56397533113452,0.048354530038877,1.69639728866261
SqExp,10,Prey,2.65537600802036,0.0729985365447106,1.41484352571793
SqExp,10,Predator,2.48501645794624,-0.0137801013452549,1.66678739913374
Matern 1/2,10,Prey,2.65537602723761,0.0729985557619585,1.41484343433735
Matern 1/2,10,Predator,2.48501633412419,-0.0137802251673093,1.66678718004037
Matern 3/2,10,Prey,2.65537596375189,0.0729984922762381,1.41484349148444
Matern 3/2,10,Predator,2.48501644760086,-0.0137801116906386,1.66678737025376
Matern 5/2,10,Prey,2.65537604612806,0.0729985746524129,1.41484353901673
Matern 5/2,10,Predator,2.48501645248483,-0.0137801068066648,1.6667873935483
RatQuad,10,Prey,2.65537603009936,0.072998558623709,1.41484352665128
RatQuad,10,Predator,2.48501645628537,-0.0137801030061224,1.66678739832932
Periodic,10,Prey,2.65537648273692,0.0729990112612713,1.41484358100757
Periodic,10,Predator,2.48501639140624,-0.0137801678852546,1.66678739680312
SqExp,25,Prey,2.3530891675857,-0.00153931944893669,1.41579645200298
SqExp,25,Predator,2.4686724604513,-0.000242007618345082,1.65385746433411
Matern 1/2,25,Prey,1.24715422684077,-1.10747426019386,0.37842944406086
Matern 1/2,25,Predator,1.03878370504618,-1.43013076302346,0.317143866648875
Matern 3/2,25,Prey,2.35308760627638,-0.00154088075825485,1.41579402863476
Matern 3/2,25,Predator,-0.038809306102384,-2.50772377417202,0.127449454187279
Matern 5/2,25,Prey,2.35308908631474,-0.00153940071989515,1.41579632611087
Matern 5/2,25,Predator,2.46867231124692,-0.000242156822722935,1.65385719365515
RatQuad,25,Prey,2.35308914947422,-0.00153933756040764,1.41579642320806
RatQuad,25,Predator,2.46867245859117,-0.000242009478471145,1.65385746464183
Periodic,25,Prey,2.3530891644562,-0.00153932257843415,1.41579645619384
Periodic,25,Predator,2.46867246325544,-0.000242004814198131,1.65385748832693
SqExp,50,Prey,2.3523099787294,-2.77377830794334e-06,1.41344915744636
SqExp,50,Predator,2.46776122353113,-0.000111426515640123,1.65581055468157
Matern 1/2,50,Prey,0.40075127313135,-1.95156147937636,0.156507774892811
Matern 1/2,50,Predator,0.278576071121372,-2.1892965789254,0.136110754423847
Matern 3/2,50,Prey,-1.10387432374304,-3.45618707625075,0.0366663558879095
Matern 3/2,50,Predator,-1.40100837997227,-3.86888103001903,0.0268292812941112
Matern 5/2,50,Prey,-1.64746477840467,-3.99977753091238,0.0222825054465942
Matern 5/2,50,Predator,-1.86634757486122,-4.33422022490799,0.0181970488938859
RatQuad,50,Prey,-1.50982717432478,-3.86213992683249,0.0241934172849628
RatQuad,50,Predator,-1.51240568939487,-3.98027833944163,0.0235555620913255
Periodic,50,Prey,2.352310052393,-2.70011470943565e-06,1.41344924095566
Periodic,50,Predator,2.46776122348176,-0.000111426565007677,1.65581059502277
