Noise,N,Kernel,State,Regular,Optimization,N_per_Time,RMSE,MAE,R2,NLPD,MSLL,CRPS,sMSE,Coverage,NLML
0.01,25,Matern 3/2,Predator,Yes,Default,1,0.207247994498741,0.12519374461018,0.994725766632785,-0.038809306102384,-2.50772377417202,0.127449454187279,0.00526368490048051,1,92.7638508053075
0.01,25,Matern 5/2,Prey,Yes,Default,1,2.5429468486162,2.05162427200422,-1.95835392948762e-05,2.35308908631474,-0.00153940071989515,1.41579632611087,0.998019544372216,0.91,66.7083094854569
0.01,25,Matern 5/2,Predator,Yes,Default,1,2.85683975670861,2.46761560326236,-0.00219084390340751,2.46867231124692,-0.000242156822722935,1.65385719365515,1.0001864622156,0.988,97.9475518407501
0.01,25,RatQuad,Prey,Yes,Default,1,2.54294700062814,2.05162441640436,-1.97030973712042e-05,2.35308914947422,-0.00153933756040764,1.41579642320806,0.998019663691176,0.91,66.708291909185
0.01,25,RatQuad,Predator,Yes,Default,1,2.85684016981009,2.46761597979234,-0.00219113373874236,2.46867245859117,-0.000242009478471145,1.65385746464183,1.00018675147126,0.988,97.9474837582296
0.01,25,Periodic,Prey,Yes,Default,1,2.54294707959629,2.05162449238492,-1.97652061839637e-05,2.3530891644562,-0.00153932257843415,1.41579645619384,0.998019725675772,0.91,66.7083150309755
0.01,25,Periodic,Predator,Yes,Default,1,2.85684017728358,2.46761598629351,-0.00219113898220025,2.46867246325544,-0.000242004814198131,1.65385748832693,1.00018675670424,0.988,97.9475846949095
0.01,50,SqExp,Prey,Yes,Default,1,2.54300709962171,2.04800452805084,-6.69717882910703e-05,2.3523099787294,-2.77377830794334e-06,1.41344915744636,0.998066837844715,0.904,132.580769290025
0.01,50,SqExp,Predator,Yes,Default,1,2.8542880322228,2.47959343752433,-0.000401333088079658,2.46776122353113,-0.000111426515640123,1.65581055468157,0.998400530421904,1,197.822873617045
0.01,50,Matern 1/2,Prey,Yes,Default,1,0.141125097819352,0.0749493415799069,0.996920058617182,0.40075127313135,-1.95156147937636,0.156507774892811,0.00307378150005233,1,130.397263056282
0.01,50,Matern 1/2,Predator,Yes,Default,1,0.102723462573605,0.0616054405454184,0.998704259692882,0.278576071121372,-2.1892965789254,0.136110754423847,0.00129314882650381,1,170.163374292695
0.01,50,Matern 3/2,Prey,Yes,Default,1,0.0357074894447212,0.0261451988249433,0.999802824671894,-1.10387432374304,-3.45618707625075,0.0366663558879095,0.000196780977449645,1,129.177343996777
0.01,50,Matern 3/2,Predator,Yes,Default,1,0.0294704492424934,0.0231736690114355,0.999893352131215,-1.40100837997227,-3.86888103001903,0.0268292812941112,0.000106434573047541,1,162.441559103141
0.01,50,Matern 5/2,Prey,Yes,Default,1,0.0316347174819561,0.024176853652967,0.999845238881515,-1.64746477840467,-3.99977753091238,0.0222825054465942,0.000154451596247741,1,129.559582779578
