Kernel,N,State,RMSE,MAE,R2
SqExp,5,Prey,2.55276057499784,2.14422933039221,-0.00775301727940936
SqExp,5,Predator,3.73056598497339,3.05201682383546,-0.708945137569817
Matern 1/2,5,Prey,2.55275115479224,2.14422226530587,-0.00774557966603173
Matern 1/2,5,Predator,2.77363437644756,2.2101074295837,0.0553365958161509
Matern 3/2,5,Prey,2.55275940434172,2.14422834490599,-0.00775209300004076
Matern 3/2,5,Predator,3.35789708681657,2.72021574015282,-0.384565264758776
Matern 5/2,5,Prey,2.55276016585091,2.14422892351855,-0.00775269424165481
Matern 5/2,5,Predator,3.5412713190905,2.88203190822424,-0.539916146759791
RatQuad,5,Prey,2.55276209450076,2.14423055855578,-0.00775421698777468
RatQuad,5,Predator,2.94467142827975,2.41107464585401,-0.0647615348331609
Periodic,5,Prey,2.55276225267671,2.14423056423986,-0.00775434187406154
Periodic,5,Predator,2.94483785546213,2.4112270165573,-0.0648818947946128
SqExp,10,Prey,2.55925578188835,1.9535821980402,-0.0128877656183879
SqExp,10,Predator,2.8569930232435,2.51396333951833,-0.00229837981814351
Matern 1/2,10,Prey,2.5592556205212,1.95358205240001,-0.0128876378884328
Matern 1/2,10,Predator,2.85699263870857,2.51396301770463,-0.00229811001089963
Matern 3/2,10,Prey,2.55925571907515,1.95358213295975,-0.0128877158986846
Matern 3/2,10,Predator,2.85699297009314,2.51396329805074,-0.00229834252542171
Matern 5/2,10,Prey,2.55925580755607,1.95358222600103,-0.0128877859356338
Matern 5/2,10,Predator,2.85699301204597,2.51396333164366,-0.00229837196144489
RatQuad,10,Prey,2.55925577887658,1.95358219494961,-0.0128877632344255
RatQuad,10,Predator,2.85699302167899,2.51396333885708,-0.00229837872041161
Periodic,10,Prey,2.55925580770354,1.95358222616069,-0.012887786052368
Periodic,10,Predator,2.85699302902976,2.51396334537962,-0.00229838387804726
SqExp,25,Prey,2.5438736302572,2.082497016358,-0.000748634308175955
SqExp,25,Predator,2.86102653028823,2.45764160491727,-0.00513047030120339
Matern 1/2,25,Prey,0.486224097112588,0.392760607483255,0.963439940296181
Matern 1/2,25,Predator,0.529734798117698,0.386901428650642,0.96554155511743
Matern 3/2,25,Prey,2.54387100333656,2.08249464968769,-0.000746567471322068
Matern 3/2,25,Predator,0.388132007328298,0.30180177807801,0.981501454363528
Matern 5/2,25,Prey,2.54387347230026,2.08249686381445,-0.000748510029057181
Matern 5/2,25,Predator,2.86102620559001,2.45764131468357,-0.0051302421564785
RatQuad,25,Prey,2.54387359455946,2.0824969817775,-0.000748606221508519
RatQuad,25,Predator,2.86102652527238,2.45764160128687,-0.00513046677688145
Periodic,25,Prey,2.5438736618893,2.08249704699438,-0.000748659196035506
Periodic,25,Predator,2.86102653038352,2.45764160496129,-0.00513047036815673
SqExp,50,Prey,2.54360351704906,2.033800162096,-0.000536122908518788
SqExp,50,Predator,2.85498245865931,2.47513300567488,-0.000888172281036548
Matern 1/2,50,Prey,0.218723266885283,0.1787433924201,0.99260183680488
Matern 1/2,50,Predator,0.240571751481874,0.196286970749721,0.992893300880844
Matern 3/2,50,Prey,0.233771409264938,0.19246840638549,0.991548832116712
Matern 3/2,50,Predator,0.239526713886119,0.194444660646281,0.992954909418589
Matern 5/2,50,Prey,0.238842723068156,0.197893559078628,0.991178184571738
Matern 5/2,50,Predator,0.20870158934345,0.166770756330346,0.994651522397766
RatQuad,50,Prey,0.220035300767124,0.180156926044649,0.992512813318238
RatQuad,50,Predator,0.223371162912155,0.17931939637077,0.993873211632525
Periodic,50,Prey,2.54360381974663,2.0338004718697,-0.000536361043017131
Periodic,50,Predator,2.85498245990412,2.47513300711367,-0.000888173153835936
