Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,Prey,0.858207944452226,0.972,14.1127688793506
SqExp,5,Predator,1.06246226540889,1,16.283905150069
Matern 1/2,5,Prey,0.774080218253004,0.996,14.1127687383836
Matern 1/2,5,Predator,1.06246224946972,1,15.1378685702975
Matern 3/2,5,Prey,0.723321074652951,0.996,14.1127689273096
Matern 3/2,5,Predator,1.06246209428298,1,16.4521292913106
Matern 5/2,5,Prey,1.00817952237732,1,14.013481823399
Matern 5/2,5,Predator,1.06246226328723,1,16.0468808233937
RatQuad,5,Prey,0.98927067543336,1,14.1127699182886
RatQuad,5,Predator,1.04540322319145,0.866,18.778865207854
Periodic,5,Prey,1.00818001409439,0.998,14.1127688880168
Periodic,5,Predator,1.06246227869625,0.866,18.7788690853751
SqExp,10,Prey,0.751498714231203,0.772,26.1044238410243
SqExp,10,Predator,0.606491472237282,0.972,41.2334341400078
Matern 1/2,10,Prey,0.918601358448269,0.836,26.1044249667373
Matern 1/2,10,Predator,0.80100358118675,0.996,41.2334280131897
Matern 3/2,10,Prey,0.871698378103016,0.822,26.1044228022975
Matern 3/2,10,Predator,0.698604982945754,0.998,41.233428116702
Matern 5/2,10,Prey,0.848795639882854,0.808,26.104424960401
Matern 5/2,10,Predator,0.65774881810588,0.98,41.2334303032374
RatQuad,10,Prey,0.999479676685985,1,30.5056886859694
RatQuad,10,Predator,0.941447177692707,0.994,41.2334231440197
Periodic,10,Prey,0.999479683250646,0.834,26.1044253872653
Periodic,10,Predator,1.02336807288941,1,41.2334257916288
SqExp,25,Prey,0.0502162398174523,0.62,66.3046513124862
SqExp,25,Predator,0.0421270550675872,0.946,95.7295231350063
Matern 1/2,25,Prey,0.0421953861150706,0.988,66.8299901953925
Matern 1/2,25,Predator,0.0543081326561299,0.976,67.1846338795943
Matern 3/2,25,Prey,0.0305512015099376,0.904,61.1079479887734
Matern 3/2,25,Predator,0.0422847689915531,0.76,63.76584700701
Matern 5/2,25,Prey,0.0366498497202529,0.854,66.4673110131322
Matern 5/2,25,Predator,0.0433810334186701,0.658,63.9784517551263
RatQuad,25,Prey,0.0502997357205903,0.59,60.1362427257343
RatQuad,25,Predator,0.0437567081626509,1,66.6799365192659
Periodic,25,Prey,0.998814317274498,0.918,66.7805232422488
Periodic,25,Predator,1.00377223288453,0.944,97.7383372871924
SqExp,50,Prey,0.0263866020554176,1,132.326146818573
SqExp,50,Predator,0.0223546739872085,1,98.9100256365028
Matern 1/2,50,Prey,0.0293893680088741,0.968,95.1814850292199
Matern 1/2,50,Predator,0.030923550429331,0.94,99.3122677958681
Matern 3/2,50,Prey,0.0319310441803643,0.656,130.554231709597
Matern 3/2,50,Predator,0.0219096342879313,1,95.2724999271409
Matern 5/2,50,Prey,0.0332806405871683,0.446,87.174299821198
Matern 5/2,50,Predator,0.0411742733878915,0.446,207.804319524482
RatQuad,50,Prey,0.0317744964915873,0.704,87.7017677213931
RatQuad,50,Predator,0.0261938267035034,1,189.224423542575
Periodic,50,Prey,0.998430445795428,0.902,131.861779098814
Periodic,50,Predator,0.998274773547879,1,194.534856950306
