Kernel,N,State,NLPD,MSLL,CRPS
SqExp,5,Prey,2.11395351165309,-0.328015627315704,1.25813163066858
SqExp,5,Predator,3.15524369444928,0.655083615824154,2.45097970123842
Matern 1/2,5,Prey,2.39543295829608,-0.0465361806727179,1.279711754338
Matern 1/2,5,Predator,2.75629859777167,0.256138519146552,1.86724967195101
Matern 3/2,5,Prey,2.18042414574451,-0.261544993224289,1.2026423617873
Matern 3/2,5,Predator,2.50463180095112,0.00447172232600073,1.67432584270548
Matern 5/2,5,Prey,2.4126829434802,-0.0292861954886004,1.47092832436276
Matern 5/2,5,Predator,3.09222504083169,0.592064962206565,2.33499518754
RatQuad,5,Prey,2.38584407337448,-0.0561250655943151,1.44871228701185
RatQuad,5,Predator,2.5106738985814,0.0105138199562804,1.66477239525375
Periodic,5,Prey,2.39603233045574,-0.0459368085130606,1.46235635901486
Periodic,5,Predator,2.52283529889106,0.0226752202659361,1.68314910953603
SqExp,10,Prey,550.424857530832,547.789480064426,1.22600869221622
SqExp,10,Predator,2.28137770786212,-0.209404906427508,1.25140461935696
Matern 1/2,10,Prey,2.60164020146606,-0.0337372649406387,1.3518822302434
Matern 1/2,10,Predator,2.40621197403368,-0.084570640255953,1.47754154238711
Matern 3/2,10,Prey,2.82772322862672,0.192345762220018,1.30243300623011
Matern 3/2,10,Predator,2.25600112977877,-0.234781484510866,1.35995345992695
Matern 5/2,10,Prey,4.01123125970727,1.37585379330057,1.28348435278486
Matern 5/2,10,Predator,2.90429049721828,0.413507882928646,1.31471944476805
RatQuad,10,Prey,3.05455482510185,0.419177358695148,2.19293743335508
RatQuad,10,Predator,2.50996163445351,0.0191790201638777,1.61052577354588
Periodic,10,Prey,2.71982490932391,0.0844474429172089,1.45249417284987
Periodic,10,Predator,2.48295625064008,-0.00782636364954713,1.69178248657032
SqExp,25,Prey,4.46794286167134,2.10744658058922,0.360527680661367
SqExp,25,Predator,0.888910302973291,-1.58159192774265,0.330200774917723
Matern 1/2,25,Prey,11.108182361814,8.74768608073184,0.437052162018019
Matern 1/2,25,Predator,28.6107402301674,26.1402379994514,0.420971170875349
Matern 3/2,25,Prey,2.21853692778471,-0.14195935329741,0.312735285768064
Matern 3/2,25,Predator,20.2175529440404,17.7470507133245,0.358616265484232
Matern 5/2,25,Prey,8.64254113591639,6.28204485483426,0.310494220964803
Matern 5/2,25,Predator,4.0378537429848,1.56735151226885,0.373495360332958
RatQuad,25,Prey,35.3064884545653,32.9459921734832,0.36446460241279
RatQuad,25,Predator,1.13676067245516,-1.33374155826078,0.369831183911
Periodic,25,Prey,2.35744459340567,-0.00305168767645413,1.41446333373344
Periodic,25,Predator,2.47124438216009,0.000742151444146172,1.65445047936059
SqExp,50,Prey,0.597864334099149,-1.75464441856669,0.238132782685726
SqExp,50,Predator,0.854917233217753,-1.61509353628235,0.274958171355445
Matern 1/2,50,Prey,2.0364473016047,-0.316061451061135,0.270875468381389
Matern 1/2,50,Predator,1.56549156709418,-0.904519202405924,0.303459171805824
Matern 3/2,50,Prey,2.71499996011077,0.362491207444933,0.280606469077809
Matern 3/2,50,Predator,0.779062047009549,-1.69094872249056,0.262550046355842
Matern 5/2,50,Prey,86.455750848647,84.1032420959812,0.311222238719028
Matern 5/2,50,Predator,145.529267112812,143.059256343312,0.393058040019837
RatQuad,50,Prey,1.21022608465312,-1.14228266801272,0.274212717266526
RatQuad,50,Predator,1.07397073487929,-1.39604003462082,0.324927434386446
Periodic,50,Prey,2.35274242170858,0.00023366904274218,1.41033230717785
Periodic,50,Predator,2.46916321721122,-0.000847552288889852,1.65360377174875
