Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,Prey,1.00464191503638,0.988,14.0342975077027
SqExp,5,Predator,1.66005413876554,0.138,18.4742342090965
Matern 1/2,5,Prey,1.00463418811657,0.988,14.0342981952798
Matern 1/2,5,Predator,0.94878021804758,0.85,19.4785244423002
Matern 3/2,5,Prey,1.00464155527178,0.988,14.0342977254496
Matern 3/2,5,Predator,1.38332294801511,0.294,19.1103679432928
Matern 5/2,5,Prey,1.00464165135891,0.988,14.0342976553611
Matern 5/2,5,Predator,1.52035229811963,0.222,18.7755463550968
RatQuad,5,Prey,1.00464338711594,0.988,14.0342967859906
RatQuad,5,Predator,1.06276619397602,0.844,19.480655344344
Periodic,5,Prey,1.00464354255459,0.988,14.0342980769429
Periodic,5,Predator,1.06289730098225,0.844,19.4806545736133
SqExp,10,Prey,1.01173135880627,0.832,24.4914421644661
SqExp,10,Predator,1.00208584780779,1,38.6069035327248
Matern 1/2,10,Prey,1.01173123360652,0.832,24.4914442496962
Matern 1/2,10,Predator,1.00208557810807,1,38.6069077500001
Matern 3/2,10,Prey,1.01173131611313,0.832,24.4914429927397
Matern 3/2,10,Predator,1.0020858104861,1,38.6069050300886
Matern 5/2,10,Prey,1.01173137397029,0.832,24.4914499593025
Matern 5/2,10,Predator,1.00208584025438,1,38.6069053873934
RatQuad,10,Prey,1.01173135694049,0.832,24.491440716223
RatQuad,10,Predator,1.0020858467324,1,38.6068996837384
Periodic,10,Prey,1.01173137594725,0.832,24.4914463477879
Periodic,10,Predator,1.00208585170223,1,38.6069019936904
SqExp,25,Prey,0.998093699630492,0.912,66.9918063805983
SqExp,25,Predator,1.00133873867304,0.968,97.8422426793052
Matern 1/2,25,Prey,0.0301061778834072,0.996,67.0600299632336
Matern 1/2,25,Predator,0.0248881419745005,0.996,97.5951073738826
Matern 3/2,25,Prey,0.998091098281552,0.912,66.9918253843402
Matern 3/2,25,Predator,0.00886118160304938,0.94,92.8307339444308
Matern 5/2,25,Prey,0.998093558669359,0.912,66.9918244596981
Matern 5/2,25,Predator,1.00133847545677,0.968,97.8423725766847
RatQuad,25,Prey,0.998093666805576,0.912,66.9918065288431
RatQuad,25,Predator,1.00133873459317,0.968,97.842304185674
Periodic,25,Prey,0.998093724449141,0.912,66.991830286175
Periodic,25,Predator,1.0013387390718,0.968,97.8424290920742
SqExp,50,Prey,0.998219731943714,0.908,132.565416720877
SqExp,50,Predator,0.998592954346956,1,197.263982086921
Matern 1/2,50,Prey,0.00368223672434871,0.998,130.52887254296
Matern 1/2,50,Predator,0.00266427261696612,0.992,171.982948158778
Matern 3/2,50,Prey,0.00219032301955334,0.896,129.413276538117
Matern 3/2,50,Predator,0.00199154398402617,0.85,170.229997207592
Matern 5/2,50,Prey,0.00225305472636011,0.73,129.853952074842
Matern 5/2,50,Predator,0.0016458186331679,1,183.997616198019
RatQuad,50,Prey,0.00213212309664746,0.99,132.897572558846
RatQuad,50,Predator,0.00161009697506255,1,196.880624112932
Periodic,50,Prey,0.998219906694574,0.908,132.565512962245
Periodic,50,Predator,0.998592955262274,1,197.264725342045
