Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,Prey,1.0036298489886,0.984,14.013073321401
SqExp,5,Predator,1.61447476797618,0.126,18.5144251740781
Matern 1/2,5,Prey,1.00361882209505,0.984,14.0130738779095
Matern 1/2,5,Predator,0.95454427294665,0.84,19.7119969727056
Matern 3/2,5,Prey,1.00362950087672,0.984,14.013073551095
Matern 3/2,5,Predator,1.38115138238279,0.258,19.2112605291577
Matern 5/2,5,Prey,1.00362945500776,0.984,14.0130734547322
Matern 5/2,5,Predator,1.50073692437878,0.214,18.7981703199798
RatQuad,5,Prey,1.00363164898121,0.984,14.0130730939975
RatQuad,5,Predator,1.06282099063413,0.838,19.7156112002799
Periodic,5,Prey,1.00363178512975,0.984,14.0130739258743
Periodic,5,Predator,1.06304263350805,0.838,19.7156116370539
SqExp,10,Prey,1.01262915485295,0.83,24.4392577929943
SqExp,10,Predator,1.00439165285431,1,38.8668251490481
Matern 1/2,10,Prey,1.01262903366791,0.83,24.4392599853914
Matern 1/2,10,Predator,1.00439138446686,1,38.866829761844
Matern 3/2,10,Prey,1.01262911825855,0.83,24.4392587101595
Matern 3/2,10,Predator,1.00439161522502,1,38.8668268998547
Matern 5/2,10,Prey,1.01262916595132,0.83,24.4392591579604
Matern 5/2,10,Predator,1.0043916455822,1,38.8668273122642
RatQuad,10,Prey,1.01262915360191,0.83,24.4392563271136
RatQuad,10,Predator,1.00439165181091,1,38.8668213204539
Periodic,10,Prey,1.01262916947307,0.83,24.4392620315227
Periodic,10,Predator,1.00439165662982,1,38.8668353657937
SqExp,25,Prey,0.998063527430463,0.91,66.640381899354
SqExp,25,Predator,0.99993670394657,0.992,97.9593818911518
Matern 1/2,25,Prey,0.0276450995356106,1,66.7104750022714
Matern 1/2,25,Predator,0.0199861221344013,1,97.8279880080316
Matern 3/2,25,Prey,0.998061250276337,0.91,66.6404033131944
Matern 3/2,25,Predator,0.0049313280473619,1,92.7700803831545
Matern 5/2,25,Prey,0.998063367023019,0.91,66.6403999945013
Matern 5/2,25,Predator,0.999936402323941,0.992,97.9595062990057
RatQuad,25,Prey,0.998063489374345,0.91,66.6403825304782
RatQuad,25,Predator,0.999936699284154,0.992,97.9594383632649
Periodic,25,Prey,0.99806355253374,0.91,66.6404058441351
Periodic,25,Predator,0.999936704711916,0.992,97.9595402993702
SqExp,50,Prey,0.998042414265438,0.904,132.591783540165
SqExp,50,Predator,0.998358303436748,1,197.939859469612
Matern 1/2,50,Prey,0.00324924843427311,1,130.386357407929
Matern 1/2,50,Predator,0.00125211059160328,1,169.868240900263
Matern 3/2,50,Prey,0.000115777877905327,1,129.163633738073
Matern 3/2,50,Predator,3.41596346327481e-05,1,161.76927838458
Matern 5/2,50,Prey,6.5757984670341e-05,1,129.564194752565
Matern 5/2,50,Predator,1.97308296016264e-05,1,172.085211928758
RatQuad,50,Prey,6.92920750924336e-05,1,133.073360127512
RatQuad,50,Predator,2.31082126470091e-05,1,195.16560375898
Periodic,50,Prey,0.998042539143157,0.904,132.591892616027
Periodic,50,Predator,0.998358304336568,1,197.940563145422
