Kernel,N,State,RMSE,MAE,R2
SqExp,5,Prey,2.55515032218503,1.9666016690987,-0.00964070091574887
SqExp,5,Predator,2.91779352885044,2.41733186874102,-0.0454127251456038
Matern 1/2,5,Prey,2.55515030206274,1.96660164989584,-0.00964068501353177
Matern 1/2,5,Predator,2.91779344208879,2.41733178366733,-0.0454126629741465
Matern 3/2,5,Prey,2.55515031288128,1.96660166068393,-0.00964069356319652
Matern 3/2,5,Predator,2.91779353630248,2.41733186275693,-0.045412730485564
Matern 5/2,5,Prey,2.55515032442519,1.96660167135821,-0.00964070268610229
Matern 5/2,5,Predator,2.91779353024483,2.41733186454154,-0.0454127261447861
RatQuad,5,Prey,2.55515032524961,1.96660167226693,-0.00964070333762668
RatQuad,5,Predator,2.91779354151964,2.41733186906283,-0.0454127342240644
Periodic,5,Prey,2.55515033291316,1.96660167934314,-0.00964070939396922
Periodic,5,Predator,2.91779356185562,2.41733187421615,-0.0454127487963745
SqExp,10,Prey,1.90292016879827,1.18884361085877,0.440016697401763
SqExp,10,Predator,2.11564940365133,1.32897989609314,0.450375519080755
Matern 1/2,10,Prey,1.96277606828428,1.29104223988746,0.404234366686336
Matern 1/2,10,Predator,2.29588346635025,1.49051792699875,0.352740624770268
Matern 3/2,10,Prey,1.90784173009168,1.15063071402279,0.437116359140961
Matern 3/2,10,Predator,2.20824627970895,1.36430155779794,0.401211179288939
Matern 5/2,10,Prey,1.89511058828433,1.14278762544487,0.444603606391974
Matern 5/2,10,Predator,2.15123769028754,1.30783786363669,0.431729037366307
RatQuad,10,Prey,1.90286906962949,1.18874432163275,0.440046771492694
RatQuad,10,Predator,2.13563684899122,1.35335436693449,0.439941387572551
Periodic,10,Prey,2.70359178124557,2.458589554725,-0.130358421539688
Periodic,10,Predator,2.95036473793441,2.41045359066436,-0.0688827942063948
SqExp,25,Prey,0.654478364596423,0.373504841883653,0.933759358741073
SqExp,25,Predator,1.25036871764238,0.567666385140572,0.808020494736396
Matern 1/2,25,Prey,1.09523871132756,0.556677359864661,0.814496755318057
Matern 1/2,25,Predator,1.54833613882285,0.743727614141797,0.705619411133804
Matern 3/2,25,Prey,0.744997216912451,0.377837297373741,0.914169184295948
Matern 3/2,25,Predator,1.22926277666701,0.513077795041901,0.814446935839681
Matern 5/2,25,Prey,0.662382001227685,0.355154833045475,0.932149822976635
Matern 5/2,25,Predator,1.19053163630121,0.511314676749618,0.825955401401815
RatQuad,25,Prey,0.734590880148535,0.418003821981893,0.916550256933206
RatQuad,25,Predator,1.19086182799513,0.548275465194393,0.825858846134559
Periodic,25,Prey,2.55598700964908,1.96377202195574,-0.0103020256278021
Periodic,25,Predator,2.87840359742815,2.4367627093524,-0.0173773068293328
SqExp,50,Prey,0.0558089076716283,0.0349443201205538,0.999518339553626
SqExp,50,Predator,0.0135161904493319,0.00899144270950889,0.999977567004266
Matern 1/2,50,Prey,0.142060443749036,0.0745591167053922,0.996879096982879
Matern 1/2,50,Predator,0.09699816056071,0.0549842944243086,0.998844671023972
Matern 3/2,50,Prey,0.0295713548920825,0.0143717402578466,0.999864768960645
Matern 3/2,50,Predator,0.0157412543880024,0.00736404378802627,0.999969573125477
Matern 5/2,50,Prey,0.0247722633700704,0.0130945911323494,0.999905100195782
Matern 5/2,50,Predator,0.0120179523727221,0.006350098738415,0.999982264655624
RatQuad,50,Prey,0.0216615097992711,0.0141751540487924,0.999927437642162
RatQuad,50,Predator,0.0109368247441665,0.00710738565391412,0.999985312050374
Periodic,50,Prey,2.54299155506877,2.06307028350767,-5.47456749799835e-05
Periodic,50,Predator,2.8538241802707,2.48496705336836,-7.62079427170104e-05
