Kernel,N,State,RMSE,MAE,R2
SqExp,5,Prey,2.5550794975714,1.9668454820135,-0.0095847304932728
SqExp,5,Predator,2.90731833836741,2.42081764946987,-0.0379199125971057
Matern 1/2,5,Prey,2.55507934191379,1.96684531659912,-0.00958460748376
Matern 1/2,5,Predator,2.90731705891004,2.42081656437624,-0.0379189990583519
Matern 3/2,5,Prey,2.55507927571996,1.96684527746479,-0.00958455517362844
Matern 3/2,5,Predator,2.9073174095501,2.42081683620505,-0.0379192494170077
Matern 5/2,5,Prey,2.55507945236662,1.96684543944488,-0.00958469476988144
Matern 5/2,5,Predator,2.90731789110199,2.42081722147436,-0.0379195932473861
RatQuad,5,Prey,2.55507949428832,1.96684547887969,-0.00958472789879772
RatQuad,5,Predator,2.90731767750436,2.42081701841169,-0.0379194407376398
Periodic,5,Prey,2.55507952368856,1.96684550736026,-0.0095847511325462
Periodic,5,Predator,2.90731842548067,2.42081771496614,-0.0379199747964132
SqExp,10,Prey,2.55161448098302,1.98001749381207,-0.00684833358796522
SqExp,10,Predator,2.09512514770416,1.31392716620102,0.460987783929198
Matern 1/2,10,Prey,2.01070976565964,1.29258611407429,0.374780213721981
Matern 1/2,10,Predator,2.41883971179989,1.58848327263623,0.281556121247915
Matern 3/2,10,Prey,2.01796390482288,1.24941765199221,0.370260801952851
Matern 3/2,10,Predator,2.56253597416323,1.55446016737421,0.193659245758402
Matern 5/2,10,Prey,2.03054353087055,1.25365653282598,0.362384966906661
Matern 5/2,10,Predator,2.44961621225225,1.48617105281349,0.263157336159849
RatQuad,10,Prey,2.55161312491461,1.98001569194333,-0.00684726339898467
RatQuad,10,Predator,2.18129825418977,1.35255369278356,0.415736478191656
Periodic,10,Prey,2.55161448300162,1.98001751472726,-0.00684833518101646
Periodic,10,Predator,2.93264971852667,2.41338812398117,-0.0560854392294747
SqExp,25,Prey,2.5485537475481,2.12200480813779,-0.00443429644256588
SqExp,25,Predator,2.91087661398734,2.41952545990107,-0.0404620939152409
Matern 1/2,25,Prey,1.26497555463228,0.581801781716408,0.752543876580427
Matern 1/2,25,Predator,0.974531802625352,0.458600391436713,0.883380627210286
Matern 3/2,25,Prey,1.14092698303258,0.506588645826919,0.798697280550866
Matern 3/2,25,Predator,0.728616249529797,0.34468198110123,0.9348106915578
Matern 5/2,25,Prey,1.12506424216692,0.486724632097522,0.804255944156988
Matern 5/2,25,Predator,0.707504137917378,0.333585990392141,0.938533761451919
RatQuad,25,Prey,1.13014619317387,0.535461469567753,0.802483586011613
RatQuad,25,Predator,2.91087639983822,2.41952519746462,-0.0404619408245677
Periodic,25,Prey,2.54855371683045,2.12200478595091,-0.00443427222972992
Periodic,25,Predator,2.91087661283787,2.41952545967378,-0.0404620930935109
SqExp,50,Prey,2.54337728908484,2.07421068598141,-0.000358155561837936
SqExp,50,Predator,2.85383164904669,2.48482568953601,-8.14425713926425e-05
Matern 1/2,50,Prey,0.182877133641133,0.130095862717268,0.994828068652212
Matern 1/2,50,Predator,0.121302052302823,0.0930286702749045,0.998193179679957
Matern 3/2,50,Prey,0.115365530384796,0.0925021708762858,0.997941807111386
Matern 3/2,50,Predator,0.121874015133568,0.0954791693176868,0.998176100488521
Matern 5/2,50,Prey,0.115646194868064,0.0924567763360233,0.997931780471413
Matern 5/2,50,Predator,0.123590589058214,0.0959450875349007,0.998124360055881
RatQuad,50,Prey,0.118730947633832,0.0946979217629534,0.99781997332675
RatQuad,50,Predator,0.123967166899842,0.0971973361632399,0.998112912573919
Periodic,50,Prey,2.54337743293708,2.07421083266635,-0.000358268721426969
Periodic,50,Predator,2.85383164962118,2.48482569033074,-8.1442974037671e-05
