Kernel,N,State,NLPD,MSLL,CRPS
SqExp,5,Prey,2.9600976268381,0.232679933044058,1.44946561216136
SqExp,5,Predator,2.47722987654737,-0.0107384897922734,1.65401203866944
Matern 1/2,5,Prey,2.96009766921546,0.232679975421421,1.44946549310436
Matern 1/2,5,Predator,2.47722972890237,-0.0107386374372667,1.65401178454686
Matern 3/2,5,Prey,2.96009635180516,0.232678658011122,1.44946530143103
Matern 3/2,5,Predator,2.47722981242128,-0.0107385539183641,1.65401192466828
Matern 5/2,5,Prey,2.9600973086064,0.232679614812362,1.44946554837215
Matern 5/2,5,Predator,2.47722985686556,-0.0107385094740781,1.65401200583093
RatQuad,5,Prey,2.96009762660934,0.232679932815301,1.44946561044671
RatQuad,5,Predator,2.47722977922139,-0.0107385871182491,1.65401186440827
Periodic,5,Prey,2.96009814528425,0.232680451490214,1.44946566129403
Periodic,5,Predator,2.47722988078798,-0.0107384855516647,1.65401204926061
SqExp,10,Prey,2.35982729586857,0.00523101944574785,1.40117492058077
SqExp,10,Predator,6.32536481511004,3.81616082032922,1.03473470511001
Matern 1/2,10,Prey,1.98062325250951,-0.373973023913307,1.0285087280711
Matern 1/2,10,Predator,1.98532054813248,-0.523883446648336,1.18132221894855
Matern 3/2,10,Prey,3.06116891928552,0.706572642862705,1.00437616191181
Matern 3/2,10,Predator,2.69515175446626,0.185947759685441,1.13556158077485
Matern 5/2,10,Prey,2.38626631626155,0.0316700398387318,1.00676887563816
Matern 5/2,10,Predator,3.41173633823772,0.902532343456902,1.10744594174681
RatQuad,10,Prey,2.35982737466434,0.00523109824152384,1.40117496641274
RatQuad,10,Predator,6.32305334452173,3.81384934974091,1.03473429843949
Periodic,10,Prey,2.3598273406093,0.00523106418648265,1.40117497447162
Periodic,10,Predator,2.52273905805657,0.0135350632757524,1.68432109882827
SqExp,25,Prey,2.37374413032444,-0.00562055760303313,1.43749428829781
SqExp,25,Predator,2.51625468085844,0.0062862831211598,1.67807030451247
Matern 1/2,25,Prey,1.47466571833353,-0.904698969593946,0.61966577415677
Matern 1/2,25,Predator,1.71349548220218,-0.796472915535099,0.531804347904197
Matern 3/2,25,Prey,4.57949393362187,2.20012924569439,0.631125400435509
Matern 3/2,25,Predator,1.41748606471151,-1.09248233302578,0.451789554959106
Matern 5/2,25,Prey,1.30895477064408,-1.0704099172834,0.613577527001914
Matern 5/2,25,Predator,1.00619773061746,-1.50377066711983,0.433580402755556
RatQuad,25,Prey,1.31624837089594,-1.06311631703153,0.617024497167208
RatQuad,25,Predator,2.51625447511498,0.00628607737769938,1.67807001352718
Periodic,25,Prey,2.37374409192957,-0.00562059599790421,1.43749424457165
Periodic,25,Predator,2.51625478955725,0.00628639181996473,1.67807034647769
SqExp,50,Prey,2.35431391459586,0.000382562994191165,1.43054409904748
SqExp,50,Predator,2.47287012877059,-0.00146476216608381,1.65220261694405
Matern 1/2,50,Prey,1.6739064194046,-0.680024932197068,0.262774373445562
Matern 1/2,50,Predator,1.49319688469912,-0.981138006237551,0.263751460773849
Matern 3/2,50,Prey,9.10633465032854,6.75240329872687,0.278304901998484
Matern 3/2,50,Predator,0.650632454561118,-1.82370243637556,0.252735316763615
Matern 5/2,50,Prey,1.25378379013924,-1.10014756146244,0.260957488024304
Matern 5/2,50,Predator,0.584563290960432,-1.88977159997624,0.231926697912088
RatQuad,50,Prey,0.533371417150352,-1.82055993445132,0.231791763660351
RatQuad,50,Predator,0.62379715335684,-1.85053773757983,0.233444829651471
Periodic,50,Prey,2.35431405064263,0.000382699040959744,1.43054429274476
Periodic,50,Predator,2.47287008552754,-0.00146480540913239,1.65220262204547
