Model,RMSE,MAE,R2,NLPD,MSLL,CRPS,sMSE,Coverage,NLML
naive,2.0853275132131,1.53192860671763,0.746768539622717,116.799345978967,113.841659583072,1.06360092232557,0.252724997456529,0.916,108659957.422248
baseline_mean,1.52583016679905,1.20694644276567,0.864424408761156,142.767483025878,139.809796629982,0.827441568327682,0.135304440056366,0.816,108722553.58803
