Model,RMSE,MAE,R2,NLPD,MSLL,CRPS,sMSE,Coverage
naive,2.67579748720107,2.03822472643118,0.58305804710915,2.12589644594037,-0.831789949955214,1.35455950568814,0.416108068985069,1
monotonic_ep,4.20633366129865,2.59324496776995,-0.0303304905872861,1.88731247099822,-1.07037392489736,1.77217186036028,1.02826982960611,0.962
