Model,RMSE,MAE,R2,NLPD,MSLL,CRPS,sMSE,Coverage
naive,2.52877481271159,1.90524869619083,0.627617359226415,2.2144368310646,-0.764166943396597,1.36777394778616,0.371637875492037,1
monotonic_ep,4.31061585966357,2.67850511712312,-0.0820510679444941,1.98669888288956,-0.991904891571637,1.83953568206497,1.07988696580861,0.966
