Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,M1,1.13327729926083,1,43.1974352240869
SqExp,5,M2,1.17236884966905,0.866,33.8029862865299
Matern 1/2,5,M1,1.13327531486188,1,43.1974413938745
Matern 1/2,5,M2,1.17236813643145,0.866,33.8029885697986
Matern 3/2,5,M1,1.13327664619077,1,43.1974395167259
Matern 3/2,5,M2,1.17236793878231,0.866,33.8029859891111
Matern 5/2,5,M1,1.13327715686663,1,43.197439240176
Matern 5/2,5,M2,1.1723685811445,0.866,33.8029870761797
RatQuad,5,M1,1.13327852444483,1,43.1974412189435
RatQuad,5,M2,1.17236878196077,0.866,33.8029861989961
SqExp,10,M1,0.002634521201147,0.552,81.8035311967939
SqExp,10,M2,0.00260900485522804,0.482,67.0466323732193
Matern 1/2,10,M1,0.0130472886215971,1,93.8047864004458
Matern 1/2,10,M2,0.122747399592112,1,70.4674273067145
Matern 3/2,10,M1,0.00273294084459286,0.956,78.0902470388423
Matern 3/2,10,M2,0.0228918982583306,0.988,69.7600179671884
Matern 5/2,10,M1,0.00318969013149906,0.858,77.3256883603868
Matern 5/2,10,M2,0.017786811016588,0.968,68.7938169079947
RatQuad,10,M1,0.00263452120609916,0.552,81.8035311463794
RatQuad,10,M2,1.02427250825065,0.92,70.4758558485966
SqExp,25,M1,0.00169795239349953,1,201.882675027492
SqExp,25,M2,0.00143426325371022,1,172.620432277932
Matern 1/2,25,M1,0.00225065200621495,0.994,174.63311320939
Matern 1/2,25,M2,0.0038883493578473,0.996,172.654479594674
Matern 3/2,25,M1,0.00230459514075441,0.822,181.464216940808
Matern 3/2,25,M2,0.00288746969269192,0.686,169.649555431539
Matern 5/2,25,M1,0.00178144696494984,1,186.996340989496
Matern 5/2,25,M2,0.00188814587813883,1,183.508995554763
RatQuad,25,M1,0.00169795237831056,1,201.882666575513
RatQuad,25,M2,0.00143426322335237,1,172.620438559237
SqExp,50,M1,0.000452268947443925,1,392.231759372704
SqExp,50,M2,0.000392085352021885,1,345.731411291884
Matern 1/2,50,M1,0.00163056779621726,0.986,300.070014690936
Matern 1/2,50,M2,0.00156892037109817,0.982,289.898612159862
Matern 3/2,50,M1,0.00100404927337693,1,330.882256646817
Matern 3/2,50,M2,0.000851872517850344,1,317.766561970666
Matern 5/2,50,M1,0.000756335846735801,1,344.222217312566
Matern 5/2,50,M2,0.000492974147004068,1,338.014513320779
RatQuad,50,M1,0.000458724149005861,1,389.436429100391
RatQuad,50,M2,0.00039208536491974,1,345.731410456499
