Kernel,N,State,NLPD,MSLL,CRPS
SqExp,5,M1,6.65099318800012,-0.0644644935524152,98.2176262818804
SqExp,5,M2,5.99836156141933,0.00221827011186265,53.3000457005204
Matern 1/2,5,M1,6.65099260722577,-0.0644650743267651,98.2175618972875
Matern 1/2,5,M2,5.99836122650211,0.0022179351946346,53.3000264008823
Matern 3/2,5,M1,6.65099278559096,-0.0644648959615693,98.2175771375859
Matern 3/2,5,M2,5.99836110976956,0.00221781846208553,53.3000238911828
Matern 5/2,5,M1,6.65099293057652,-0.0644647509760149,98.2175961045648
Matern 5/2,5,M2,5.99836143879114,0.00221814748367223,53.3000394943772
RatQuad,5,M1,6.65099332653173,-0.0644643550208045,98.2176565333507
RatQuad,5,M2,5.99836152615419,0.00221823484671492,53.300044316476
SqExp,10,M1,2.3273650806917,-4.20623170854771,1.39172336926454
SqExp,10,M2,1.43532300689057,-4.50083200841671,0.500393997641744
Matern 1/2,10,M1,5.30693132586185,-1.22666546337757,21.1910045084967
Matern 1/2,10,M2,5.14470792699111,-0.791447088316173,20.2209012015642
Matern 3/2,10,M1,3.6110471535172,-2.92254963572221,4.20338630679535
Matern 3/2,10,M2,4.33388126838061,-1.60227374692668,9.477174396035
Matern 5/2,10,M1,2.91562499932829,-3.61797178991112,2.42958112996284
Matern 5/2,10,M2,3.92375515260551,-2.01239986270177,6.67291738075437
RatQuad,10,M1,2.32736456109631,-4.2062322281431,1.39172292377417
RatQuad,10,M2,5.92785826975381,-0.00829674555347289,50.7183584260898
SqExp,25,M1,1.82931332487779,-4.65491062773917,0.778025539503338
SqExp,25,M2,1.21288219268379,-4.7029270397282,0.423367459964637
Matern 1/2,25,M1,4.19877006303395,-2.28545388958301,6.68057911307512
Matern 1/2,25,M2,3.86767297666257,-2.04813625574942,4.84758162708815
Matern 3/2,25,M1,2.18782815552289,-4.29639579709407,1.02700053988821
Matern 3/2,25,M2,1.80965894666138,-4.10615028575061,0.703700510960784
Matern 5/2,25,M1,1.94416254991198,-4.54006140270498,0.85286631944156
Matern 5/2,25,M2,1.36856658357301,-4.54724264883898,0.498000173441308
RatQuad,25,M1,1.82931305277148,-4.65491089984548,0.778025416514234
RatQuad,25,M2,1.21287798106967,-4.70293125134232,0.423366711815547
SqExp,50,M1,1.60589485187618,-4.8705727592973,0.554789728193722
SqExp,50,M2,0.983044075521267,-4.93082729521505,0.286140666208069
Matern 1/2,50,M1,3.50483485207493,-2.97163275909855,3.31256707824312
Matern 1/2,50,M2,3.14491243397694,-2.76895893675938,2.31452871426787
Matern 3/2,50,M1,1.8575490280886,-4.61891858308488,0.75645298673553
Matern 3/2,50,M2,1.32396714807578,-4.58990422266054,0.443744311308146
Matern 5/2,50,M1,1.72422428212672,-4.75224332904676,0.650462317386886
Matern 5/2,50,M2,1.0958026458773,-4.81806872485902,0.33105079687744
RatQuad,50,M1,1.60589300983773,-4.87057460133575,0.554789072035308
RatQuad,50,M2,0.982522563037254,-4.93134880769907,0.286025444492288
