Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,M1,1.13710744210252,1,43.2829448464647
SqExp,5,M2,1.17255935720111,0.87,33.746678469982
Matern 1/2,5,M1,1.13710551570355,1,43.2829508292445
Matern 1/2,5,M2,1.17255859418571,0.87,33.746680569665
Matern 3/2,5,M1,1.13710598841882,1,43.2829481810256
Matern 3/2,5,M2,1.17255843628664,0.87,33.7466781843947
Matern 5/2,5,M1,1.13710660383433,1,43.2829476046093
Matern 5/2,5,M2,1.17255907912105,0.87,33.7466792014358
RatQuad,5,M1,1.13710846494738,1,43.2829472605578
RatQuad,5,M2,1.17255928622326,0.87,33.7466783322875
SqExp,10,M1,0.000315846199436886,0.932,82.0997048990711
SqExp,10,M2,8.16712556910346e-05,1,70.4738790370114
Matern 1/2,10,M1,0.0142099030786309,1,93.6550816317427
Matern 1/2,10,M2,0.113485607204173,1,70.5340638829211
Matern 3/2,10,M1,0.000707219167177925,1,78.1600232081104
Matern 3/2,10,M2,0.0179989495499826,1,69.8354604735395
Matern 5/2,10,M1,0.000891774781984436,1,77.4667329023162
Matern 5/2,10,M2,0.0138958931164435,1,68.9033238476456
RatQuad,10,M1,0.00031584607827945,0.932,82.099704861476
RatQuad,10,M2,1.02027980120777,0.926,70.5418776103958
SqExp,25,M1,6.83469426882032e-05,1,200.259777671664
SqExp,25,M2,6.39555017521307e-05,1,174.347386085815
Matern 1/2,25,M1,0.000300234324706868,1,174.518584669584
Matern 1/2,25,M2,0.000865459202391024,1,172.824303297938
Matern 3/2,25,M1,9.56791418549408e-05,1,179.282853515617
Matern 3/2,25,M2,0.000127551845794762,1,177.013200812357
Matern 5/2,25,M1,7.91174877554951e-05,1,185.728273539649
Matern 5/2,25,M2,8.82087596255533e-05,1,196.647648313583
RatQuad,25,M1,6.83469333677112e-05,1,200.259777530651
RatQuad,25,M2,6.39555381028311e-05,1,174.347386442055
SqExp,50,M1,2.53221355705408e-05,1,379.204953885549
SqExp,50,M2,1.73914195992267e-05,1,338.982305513878
Matern 1/2,50,M1,7.58255914807586e-05,1,297.764530314675
Matern 1/2,50,M2,9.71130553239191e-05,1,287.550714538645
Matern 3/2,50,M1,5.65052353575872e-05,1,321.594292238767
Matern 3/2,50,M2,6.01699281281821e-05,1,318.896395307685
Matern 5/2,50,M1,4.0066297987303e-05,1,340.005332267909
Matern 5/2,50,M2,2.71858123616425e-05,1,344.748450658804
RatQuad,50,M1,2.53221412845069e-05,1,379.204950516857
RatQuad,50,M2,1.73894499407627e-05,1,338.977681636428
