Kernel,N,RMSE,MAE,R2
SqExp,5,75.8772977299968,49.5689080223808,0.948148983702718
Matern 1/2,5,110.771074208667,75.6242889995294,0.889493888686932
Matern 3/2,5,71.585329708014,42.8350844467447,0.953848946315572
Matern 5/2,5,71.4845063058854,45.0011750811899,0.953978856437117
RatQuad,5,75.877845259164,49.5707732852365,0.948148235388082
SqExp,10,33.3573781197152,28.1008127412509,0.989978854275301
Matern 1/2,10,30.348529048298,24.0136182407252,0.991705143936755
Matern 3/2,10,36.7613914308014,29.7647527680863,0.987829247125491
Matern 5/2,10,35.0558845283972,27.7120199539912,0.988932349886049
RatQuad,10,33.3573748692065,28.1008088960039,0.989978856228321
SqExp,25,26.0238410860058,22.63082449446,0.993900751074747
Matern 1/2,25,26.9056069967815,19.7110743001574,0.993480427032411
Matern 3/2,25,23.2821604737084,17.2346421685127,0.995118198478477
Matern 5/2,25,22.9744862286444,18.4304422157867,0.995246372157895
RatQuad,25,23.632051380557,20.0185689873261,0.994970365733013
SqExp,50,18.0707310602059,14.0773101581969,0.997059067838056
Matern 1/2,50,30.4897061769537,24.9028812685887,0.991627791408306
Matern 3/2,50,19.7412787248358,15.2820950943598,0.996490185834755
Matern 5/2,50,18.2280440214709,13.9331720966593,0.997007640974531
RatQuad,50,18.2810405981151,13.6713331285553,0.996990215591915
