Kernel,N,NLPD,MSLL,CRPS
SqExp,5,6.5113648165617,-0.721651175579768,50.7547759408236
Matern 1/2,5,6.27751249754145,-0.955503494600015,77.8153540655301
Matern 3/2,5,5.75667242999691,-1.47634356214456,55.3578370393053
Matern 5/2,5,5.79861597499779,-1.43440001714368,51.5887741581059
RatQuad,5,6.51151516488739,-0.721500827254077,50.7548379387398
SqExp,10,5.06626607789701,-2.17616461066156,17.3703582076531
Matern 1/2,10,5.51890575058035,-1.72352493797822,28.1797760569698
Matern 3/2,10,5.08300164976965,-2.15942903878892,16.1480615653637
Matern 5/2,10,4.98271032912763,-2.25972035943094,17.2499671175354
RatQuad,10,5.03506746196824,-2.20736322659033,17.2786184449095
SqExp,25,4.27664109844112,-2.95510709976715,10.2576122407896
Matern 1/2,25,4.7000215289875,-2.53172666922078,12.9683583314856
Matern 3/2,25,4.20920979345887,-3.02253840474941,9.44251403660092
Matern 5/2,25,4.18924634967495,-3.04250184853332,9.52127352227913
RatQuad,25,4.27915291024571,-2.95259528796257,10.1940033607051
SqExp,50,4.11756281560193,-3.11263822672109,6.8840423650051
Matern 1/2,50,4.4774231428341,-2.75277789948893,9.59757044639864
Matern 3/2,50,4.10274066245084,-3.12746037987219,7.22615306467329
Matern 5/2,50,4.08567462911325,-3.14452641320977,6.83649739435775
RatQuad,50,4.09507861596183,-3.13512242636119,6.73379610126457
