Kernel,N,sMSE,Coverage,NLML
SqExp,5,0.100760155638532,0.334,43.5377119201461
Matern 1/2,5,0.207718824587693,0.99,51.3691479998923
Matern 3/2,5,0.13467740485208,0.64,45.9822118353305
Matern 5/2,5,0.116393811491397,0.518,44.4203909654024
RatQuad,5,0.10076015919385,0.334,43.5377122858838
SqExp,10,0.128299443832353,0.908,91.7236741750505
Matern 1/2,10,0.0262352906466599,0.968,84.4426326981749
Matern 3/2,10,0.0646359817317012,0.778,88.377147696118
Matern 5/2,10,0.0905438012862119,0.836,89.3869425729291
RatQuad,10,0.128299429071584,0.908,91.7236737386532
SqExp,25,0.0287020462452591,0.976,251.648858613268
Matern 1/2,25,0.0356908788647365,0.882,188.032576957327
Matern 3/2,25,0.0306612549857537,0.964,221.959066801556
Matern 5/2,25,0.0313244049409847,0.954,233.281738654965
RatQuad,25,0.0316056675099116,0.94,238.329908821937
SqExp,50,0.00962881078244281,1,429.855358110295
Matern 1/2,50,0.021511612215397,0.998,347.505086340681
Matern 3/2,50,0.00911833446053508,1,375.245657472644
Matern 5/2,50,0.00836168243914178,1,393.201311463861
RatQuad,50,0.00846476455215626,1,392.966329154927
