Kernel,N,sMSE,Coverage,NLML
SqExp,5,0.0517473142646878,0.756,44.7463114358376
Matern 1/2,5,0.110285099090442,0.996,46.2906565623825
Matern 3/2,5,0.0460587515770593,0.97,45.2552915984432
Matern 5/2,5,0.0459291012757577,0.954,44.8862924369263
RatQuad,5,0.0517480610826942,0.754,44.7463196572806
SqExp,10,0.0100011034332494,1,94.1296891549734
Matern 1/2,10,0.00827826635111856,0.988,86.6733692099425
Matern 3/2,10,0.0121464113687598,0.802,91.2661363643975
Matern 5/2,10,0.0110455148137234,1,93.1133980816611
RatQuad,10,0.0100011014841351,1,94.1296891258709
SqExp,25,0.00608705042740208,1,238.356216180035
Matern 1/2,25,0.00650653382165353,0.948,175.27199785249
Matern 3/2,25,0.00487203791848015,0.986,202.854313801356
Matern 5/2,25,0.00474412058642081,1,219.551351944905
RatQuad,25,0.00501957499845314,1,228.120785375198
SqExp,50,0.00293505029761977,1,480.807557494521
Matern 1/2,50,0.00835546417451052,0.866,328.145365151765
Matern 3/2,50,0.00350279453691429,1,379.02328883066
Matern 5/2,50,0.00298637430741783,1,416.586335860633
RatQuad,50,0.00300376483926926,1,359.647983056156
