Noise,N,Kernel,Regular,Optimization,N_per_Time,RMSE,MAE,R2,NLPD,MSLL,CRPS,sMSE,Coverage,NLML
0.01,50,RatQuad,Yes,Default,1,2.35332757787638,1.8351684813473,0.999950123228943,2.47473807942077,-4.75387274381725,1.44093710530329,4.97770175148158e-05,1,363.167879437047
0.05,5,SqExp,Yes,Default,1,73.6528257684916,46.142433572715,0.951144620728744,5.42086727101723,-1.87254499637375,35.135111053642,0.0487576685127131,0.8,44.7030492335134
0.05,5,Matern 1/2,Yes,Default,1,106.918738064461,73.0653234617611,0.897046477519357,6.40939239110851,-0.884019876282478,71.226052759081,0.102747615435682,0.998,46.3400144704577
0.05,5,Matern 3/2,Yes,Default,1,68.7805973118904,34.219471360659,0.957394521433003,5.62831025116953,-1.66510201622146,38.2188844637107,0.0425202676098634,0.99,45.1845987848062
0.05,5,Matern 5/2,Yes,Default,1,68.7464518727262,36.8600748815527,0.957436813059628,5.42530097867004,-1.86811128872094,34.271795265415,0.0424780605664912,0.982,44.8145662453029
0.05,5,RatQuad,Yes,Default,1,73.6531585291932,46.1449936399989,0.951144179274208,5.42945773402763,-1.86395453336335,35.1442516723999,0.04875810908434,0.798,44.7030593922494
0.05,10,SqExp,Yes,Default,1,21.7505583892453,18.5801765077497,0.995739364482299,4.97809652168394,-2.27712574887851,15.9054380139765,0.00425211424666601,1,95.3383455283033
0.05,10,Matern 1/2,Yes,Default,1,20.7076694103083,16.0720145447465,0.996138144604898,5.43431146257219,-1.82091080799027,23.5585925022744,0.00385413168431137,0.996,85.9316557200122
0.05,10,Matern 3/2,Yes,Default,1,20.1535941206075,15.9696823095007,0.99634204315424,4.81421549834781,-2.44100677221465,12.3393611721361,0.00365064093206843,0.918,90.7064208850585
0.05,10,Matern 5/2,Yes,Default,1,22.9179298956646,17.4287296016548,0.995269747378993,5.02856791982696,-2.22665435073549,13.1130855120899,0.00472079211576526,0.796,93.5195435424095
0.05,10,RatQuad,Yes,Default,1,21.7505556679107,18.5801735231196,0.995739365548443,4.97809653050647,-2.27712574005598,15.9054374759633,0.00425211318265428,1,95.3383451007395
0.05,25,SqExp,Yes,Default,1,13.2695320127713,10.8323577262907,0.998414213286351,4.11955423044481,-3.11286290280514,7.85566821648062,0.00158261514022126,1,253.175535460404
0.05,25,Matern 1/2,Yes,Default,1,14.007816933675,10.4292536425958,0.998232845680749,4.56759279789763,-2.66482433535232,10.4589111848001,0.00176362001061291,0.98,173.030640225983
0.05,25,Matern 3/2,Yes,Default,1,13.3904435300698,9.88876464245456,0.998385182354282,4.03300029050677,-3.19941684274318,7.34997211824642,0.00161158801042683,0.91,201.651003981727
0.05,25,Matern 5/2,Yes,Default,1,12.1454299073308,9.2848459501929,0.998671506769519,4.0206427089277,-3.21177442432224,7.07349549435338,0.00132583624402023,1,220.063756115208
0.05,25,RatQuad,Yes,Default,1,12.5665591774692,9.98457160287608,0.998577781501092,4.07031892797349,-3.16209820527646,7.42702630599388,0.00141937406190983,1,213.656002423765
0.05,50,SqExp,Yes,Default,1,9.75276646946125,7.06212633096992,0.999143378023296,4.01738480058322,-3.21107653818742,6.39449083898203,0.000854908732750977,1,509.465247548632
0.05,50,Matern 1/2,Yes,Default,1,15.1519735310204,12.3944422984017,0.997932374080575,4.36480443677799,-2.86365690199266,9.08497406992088,0.00206349066758569,0.948,312.817192755764
0.05,50,Matern 3/2,Yes,Default,1,11.2120247425097,8.85274927233636,0.998867856032638,4.01994634425916,-3.20851499451149,6.82640899453984,0.00112987967942707,1,365.216714310137
0.05,50,Matern 5/2,Yes,Default,1,10.1690967991441,7.68695643386883,0.999068681297229,3.99854572461183,-3.22991561415881,6.43538756752503,0.000929456065365835,1,405.510794124605
0.05,50,RatQuad,Yes,Default,1,9.90677752626502,7.31649070898489,0.999116109670586,4.00432489471907,-3.22413644405158,6.37967654419742,0.000882122548755552,1,355.776397311964
0.1,5,SqExp,Yes,Default,1,75.8772977299968,49.5689080223808,0.948148983702718,5.86168680467578,-1.43677432278431,38.6375581130274,0.0517473142646878,0.756,44.7463114358376
0.1,5,Matern 1/2,Yes,Default,1,110.771074208667,75.6242889995294,0.889493888686932,6.48464746310205,-0.81381366435803,74.4124838667089,0.110285099090442,0.996,46.2906565623825
0.1,5,Matern 3/2,Yes,Default,1,71.585329708014,42.8350844467447,0.953848946315572,5.8707372014704,-1.42772392598969,41.4661558184859,0.0460587515770593,0.97,45.2552915984432
0.1,5,Matern 5/2,Yes,Default,1,71.4845063058854,45.0011750811899,0.953978856437117,5.74879206487628,-1.5496690625838,37.5902913777731,0.0459291012757577,0.954,44.8862924369263
0.1,5,RatQuad,Yes,Default,1,75.877845259164,49.5707732852365,0.948148235388082,5.89855990157845,-1.39990122588164,38.6543214800197,0.0517480610826942,0.754,44.7463196572806
0.1,10,SqExp,Yes,Default,1,33.3573781197152,28.1008127412509,0.989978854275301,5.30954151192747,-1.95230494205985,22.867771462936,0.0100011034332494,1,94.1296891549734
0.1,10,Matern 1/2,Yes,Default,1,30.348529048298,24.0136182407252,0.991705143936755,5.60623190435571,-1.65561454963161,27.2188035850763,0.00827826635111856,0.988,86.6733692099425
0.1,10,Matern 3/2,Yes,Default,1,36.7613914308014,29.7647527680863,0.987829247125491,6.54498806923322,-0.716858384754095,22.2062836241275,0.0121464113687598,0.802,91.2661363643975
0.1,10,Matern 5/2,Yes,Default,1,35.0558845283972,27.7120199539912,0.988932349886049,5.04920091389838,-2.21264554008894,20.301895320283,0.0110455148137234,1,93.1133980816611
0.1,10,RatQuad,Yes,Default,1,33.3573748692065,28.1008088960039,0.989978856228321,5.30954151865525,-1.95230493533206,22.867770712821,0.0100011014841351,1,94.1296891258709
0.1,25,SqExp,Yes,Default,1,26.0238410860058,22.63082449446,0.993900751074747,4.77782611119137,-2.45578025630707,15.4218628092674,0.00608705042740208,1,238.356216180035
0.1,25,Matern 1/2,Yes,Default,1,26.9056069967815,19.7110743001574,0.993480427032411,5.0600248833243,-2.17358148417414,15.9291645708953,0.00650653382165353,0.948,175.27199785249
0.1,25,Matern 3/2,Yes,Default,1,23.2821604737084,17.2346421685127,0.995118198478477,4.64069361026531,-2.59291275723313,13.3378872259431,0.00487203791848015,0.986,202.854313801356
0.1,25,Matern 5/2,Yes,Default,1,22.9744862286444,18.4304422157867,0.995246372157895,4.67044901051956,-2.56315735697888,13.5614548511855,0.00474412058642081,1,219.551351944905
0.1,25,RatQuad,Yes,Default,1,23.632051380557,20.0185689873261,0.994970365733013,4.70421102473781,-2.52939534276062,14.0909947994698,0.00501957499845314,1,228.120785375198
0.1,50,SqExp,Yes,Default,1,18.0707310602059,14.0773101581969,0.997059067838056,4.77461316009608,-2.45379670496538,13.0074603212016,0.00293505029761977,1,480.807557494521
0.1,50,Matern 1/2,Yes,Default,1,30.4897061769537,24.9028812685887,0.991627791408306,5.42903729927247,-1.79937256578899,18.0095798514928,0.00835546417451052,0.866,328.145365151765
0.1,50,Matern 3/2,Yes,Default,1,19.7412787248358,15.2820950943598,0.996490185834755,4.67639769064276,-2.5520121744187,12.6073255212834,0.00350279453691429,1,379.02328883066
0.1,50,Matern 5/2,Yes,Default,1,18.2280440214709,13.9331720966593,0.997007640974531,4.67699711870809,-2.55141274635336,12.2237287215419,0.00298637430741783,1,416.586335860633
0.1,50,RatQuad,Yes,Default,1,18.2810405981151,13.6713331285553,0.996990215591915,4.68480416882019,-2.54360569624127,12.2918593191906,0.00300376483926926,1,359.647983056156
0.2,5,SqExp,Yes,Default,1,85.9048947889402,65.4807381037455,0.933538615770584,7.37092023917419,0.0606826797535448,49.4100955143543,0.0663284614609568,0.708,44.7735436526974
0.2,5,Matern 1/2,Yes,Default,1,122.368280725088,84.702524978324,0.865143688095086,6.69209697469311,-0.618140584727537,82.4953819533587,0.134586599281104,0.996,46.1323424895524
0.2,5,Matern 3/2,Yes,Default,1,82.1572503035974,61.6727216568178,0.939210950482818,6.61412302146242,-0.696114537958221,50.5617576552279,0.0606674714181472,0.94,45.3247727699075
0.2,5,Matern 5/2,Yes,Default,1,82.2704186724692,63.858621439581,0.939043366110095,6.78418378066311,-0.526053778757533,47.2707278111161,0.0608347206221255,0.904,44.9662184200317
0.2,5,RatQuad,Yes,Default,1,85.906112055104,65.4825137348853,0.933536732251197,7.51123811805121,0.201000558630566,49.4351638559201,0.0663303412133055,0.708,44.7735492726197
0.2,10,SqExp,Yes,Default,1,56.903629512505,44.8311359775341,0.970838255673807,5.72254501892781,-1.55620235005994,36.1522029271299,0.0291034208375402,1,92.7160943422245
0.2,10,Matern 1/2,Yes,Default,1,57.6362031479385,44.9344676357566,0.970082569648716,6.12137982649739,-1.15736754249036,38.9160807893385,0.0298575954905811,0.966,87.9382692950847
0.2,10,Matern 3/2,Yes,Default,1,69.9938022559249,57.0200494519774,0.955878249520268,6.18303033390257,-1.09571703508518,41.8716272723013,0.0440335069787723,0.776,91.6457438142854
0.2,10,Matern 5/2,Yes,Default,1,59.2161500732324,44.955298723265,0.968419871080977,5.64687258149757,-1.63187478749018,35.2987990252611,0.0315169686611845,1,91.8731078238843
0.2,10,RatQuad,Yes,Default,1,56.9036296033807,44.8311348094307,0.970838255580664,5.7225449224333,-1.55620244655445,36.1522009298532,0.0291034209304972,1,92.7160926286396
0.2,25,SqExp,Yes,Default,1,40.9621112158296,35.0280735853303,0.984888825296933,5.29784205448506,-1.93938601808326,24.9341622405273,0.0150809523536613,1,233.724046162438
0.2,25,Matern 1/2,Yes,Default,1,53.0519460700013,38.8324582108669,0.974652437607434,6.35004083791339,-0.887187234654929,29.7954924357487,0.0252968672677808,0.862,182.920650458194
0.2,25,Matern 3/2,Yes,Default,1,41.7778009669911,32.5916049945088,0.984281007204822,5.28769281427835,-1.94953525828997,24.8275356505993,0.0156875548095881,1,204.540497402644
0.2,25,Matern 5/2,Yes,Default,1,41.2198138359612,33.8830021643991,0.984698091038121,5.29467516410072,-1.94255290846761,24.884249683512,0.0152713051439552,1,217.282576964735
0.2,25,RatQuad,Yes,Default,1,40.9621135191181,35.028075589327,0.984888823597538,5.29784204699645,-1.93938602557187,24.9341629554632,0.0150809540496571,1,233.724047031976
0.2,50,SqExp,Yes,Default,1,31.9578221512895,25.5747586892582,0.990802116323622,5.39740749599243,-1.83133731787808,23.8998850095395,0.00917948790902566,1,469.310070029165
0.2,50,Matern 1/2,Yes,Default,1,49.6513948390938,40.325717627693,0.977797776573036,5.38900217276769,-1.83974264110283,28.7657177044143,0.0221578189801106,0.99,346.700662596138
0.2,50,Matern 3/2,Yes,Default,1,34.6700713833445,26.8887185550139,0.989174622909527,5.34805423874932,-1.88069057512119,23.6835259682881,0.0108037263362921,1,395.852447923974
0.2,50,Matern 5/2,Yes,Default,1,32.8435886227456,25.7836785351264,0.990285179750145,5.3576913189443,-1.87105349492621,23.4315698932168,0.00969539060935558,1,426.316223035018
0.2,50,RatQuad,Yes,Default,1,33.5031026654325,25.795269906332,0.989891106570176,5.36301305690779,-1.86573175696272,23.656520340152,0.0100886756429644,1,372.243077756867
0,5,SqExp,No,Default,1,112.173348140214,73.7719060039009,0.886678340050127,5.56650520907268,-1.66632902248542,52.9183001834509,0.113095016629974,0.808,52.7640089042664
0,5,Matern 1/2,No,Default,1,166.505976019587,95.2215315137569,0.75031456321493,6.3366474602958,-0.896186771262302,81.5667050583631,0.2491860659115,0.97,55.0681690405864
0,5,Matern 3/2,No,Default,1,125.218704396654,73.0871990451146,0.858787879803686,5.65669959750116,-1.57613463405693,57.112760293395,0.140929695955921,1,52.7235750959078
0,5,Matern 5/2,No,Default,1,117.334216391864,71.8923527969983,0.876011068800163,5.5328949117179,-1.6999393198402,53.5239662870843,0.123740953337438,0.914,52.2329336612048
0,5,RatQuad,No,Default,1,112.173316828805,73.7718972882441,0.886678403314001,5.56649063264763,-1.66634359891046,52.9182980774364,0.113094953492627,0.808,52.7640070697282
0,10,SqExp,No,Default,1,103.024148090702,62.5195917025611,0.904410183957277,6.40793158893856,-0.931649990831128,53.6769785122946,0.0953986364106373,0.794,82.3435427468716
0,10,Matern 1/2,No,Default,1,128.733341287274,73.8932668695823,0.850749551485442,5.68833946138981,-1.65124211837987,58.0159035097584,0.148951947617529,0.93,78.3176532845269
0,10,Matern 3/2,No,Default,1,25.029091759106,11.4434471299862,0.994358121324422,4.34914110385365,-2.99044047591603,13.9574896232207,0.0056305949182265,1,84.1406858627797
0,10,Matern 5/2,No,Default,1,32.0252013840614,16.5507608520415,0.990763290168779,4.06937334590349,-3.2702082338662,13.0506931949847,0.00921823641155842,1,85.8499490295064
0,10,RatQuad,No,Default,1,34.4161259746926,21.8575993386028,0.989332625866922,4.73064337037748,-2.6089382093922,16.9181680318579,0.0106460393848122,1,89.5888031794452
0,25,SqExp,No,Default,1,4.14322094450602,2.19023116254161,0.999845399907777,2.76445310433053,-4.49912665622321,2.06597204015396,0.000154290892038867,0.954,245.712560603711
0,25,Matern 1/2,No,Default,1,14.3721953392685,5.66154222275368,0.998139713714542,4.47021829037577,-2.79336147017797,10.0021070510004,0.00185656571288725,1,170.328031638697
0,25,Matern 3/2,No,Default,1,1.04863419187614,0.493715950251501,0.99999009666226,2.92082808872391,-4.34275167182983,1.89882601941165,9.8835310641114e-06,1,189.350293734325
0,25,Matern 5/2,No,Default,1,2.1272639583982,0.957041564171995,0.999959245429006,2.70923853434848,-4.55434122620526,1.58554774610568,4.06730618517109e-05,1,205.478487227947
0,25,RatQuad,No,Default,1,3.16609214744758,1.53621183831566,0.999909722263209,2.67479230234885,-4.58878745820489,1.73787343908159,9.00971813175262e-05,1,204.481890255457
0,50,SqExp,No,Default,1,0.965910379248658,0.654661534621486,0.99999159752503,2.27116680663088,-4.95740837299814,0.97136977469435,8.38567002051176e-06,1,529.901294532426
0,50,Matern 1/2,No,Default,1,0.99269827623939,0.500929466284415,0.999991125005404,3.71429443516602,-3.514280744463,4.02006713940448,8.85724460715357e-06,1,304.211390832549
0,50,Matern 3/2,No,Default,1,0.270544910543936,0.118957203058551,0.999999340807437,2.37388706653318,-4.85468811309584,1.00675711205135,6.578741774001e-07,1,338.608132384178
0,50,Matern 5/2,No,Default,1,0.361996423213885,0.175160469712273,0.999998819836658,2.29277341979926,-4.93580175982976,0.932821681618716,1.17780301551273e-06,1,373.800944261802
0,50,RatQuad,No,Default,1,0.654352465728603,0.374292035832264,0.999996143822216,2.2626753540723,-4.96589982555672,0.927424917314479,3.84846542881355e-06,1,375.751319625916
0.01,5,SqExp,No,Default,1,109.70379567849,72.5469865889872,0.891613081292074,5.62975904007804,-1.60307120321483,52.3930976953781,0.108170144870511,0.77,52.3760644889865
0.01,5,Matern 1/2,No,Default,1,164.321054321719,93.9035478723888,0.756824404883768,6.32199064849458,-0.910839594798298,80.6062622523673,0.242689243926,0.978,54.8751177757914
0.01,5,Matern 3/2,No,Default,1,123.326340559587,72.55878861555,0.863023756516688,5.64667695092089,-1.58615329237199,56.4933140004833,0.136702290996345,1,52.3287826660064
0.01,5,Matern 5/2,No,Default,1,115.186639689116,71.0936227468077,0.880508289066021,5.53483082990914,-1.69799941338373,52.90194852215,0.119252727512111,0.888,51.7952085726249
0.01,5,RatQuad,No,Default,1,109.703809918765,72.5469754617182,0.8916130531534,5.62975538131306,-1.60307486197981,52.3931052774702,0.108170172952906,0.77,52.3760659373665
0.01,10,SqExp,No,Default,1,18.9406919422805,11.7411846128722,0.996769087154173,4.60152119693312,-2.63879898521482,14.115118658497,0.0032244510201358,0.854,95.1976369249429
0.01,10,Matern 1/2,No,Default,1,28.6888011788768,15.0247368464868,0.992587608263055,5.47080570143324,-1.76951448071469,27.2567738245712,0.00739756695347092,1,80.9785806948321
0.01,10,Matern 3/2,No,Default,1,7.39261074660279,5.77580560166328,0.999507814017983,4.29607894110747,-2.94424124104047,11.2831373098622,0.000491201610053102,1,84.6286819143948
0.01,10,Matern 5/2,No,Default,1,9.83370833292022,7.44228441692295,0.999129100165948,4.08897061763115,-3.15134956451679,10.7080488487141,0.000869158034384358,1,89.1586559811349
0.01,10,RatQuad,No,Default,1,18.9405406848847,11.741039267136,0.996769138757093,4.60151407132739,-2.63880611082055,14.1150913805314,0.00322439952042101,0.854,95.1976032280151
0.01,25,SqExp,No,Default,1,6.29382448002207,4.40172965287528,0.999643250957319,3.13825117154723,-4.09284129661277,3.2498117701396,0.000356035544595868,0.868,241.978466455044
0.01,25,Matern 1/2,No,Default,1,12.9226259911823,6.57806320905561,0.998496044064712,4.48352712144417,-2.74756534671583,10.0212029675912,0.0015009480234176,1,168.83054340507
0.01,25,Matern 3/2,No,Default,1,3.61349973487494,2.8250286380417,0.999882404794287,2.99035889110788,-4.24073357705212,2.48374470985369,0.000117360015301751,1,187.531390538253
0.01,25,Matern 5/2,No,Default,1,4.20751150368566,3.15682280169155,0.999840564809183,2.80748761835789,-4.42360484980212,2.27186355247413,0.000159116320435628,1,205.403600558681
0.01,25,RatQuad,No,Default,1,4.96569337675862,3.68403256921736,0.999777928226986,2.83215626509123,-4.39893620306877,2.57561755375296,0.000221627629467791,0.982,205.74336541317
