Kernel,N,NLPD,MSLL,CRPS
SqExp,5,5.56650520907268,-1.66632902248542,52.9183001834509
Matern 1/2,5,6.3366474602958,-0.896186771262302,81.5667050583631
Matern 3/2,5,5.65669959750116,-1.57613463405693,57.112760293395
Matern 5/2,5,5.5328949117179,-1.6999393198402,53.5239662870843
RatQuad,5,5.56649063264763,-1.66634359891046,52.9182980774364
SqExp,10,6.40793158893856,-0.931649990831128,53.6769785122946
Matern 1/2,10,5.68833946138981,-1.65124211837987,58.0159035097584
Matern 3/2,10,4.34914110385365,-2.99044047591603,13.9574896232207
Matern 5/2,10,4.06937334590349,-3.2702082338662,13.0506931949847
RatQuad,10,4.73064337037748,-2.6089382093922,16.9181680318579
SqExp,25,2.76445310433053,-4.49912665622321,2.06597204015396
Matern 1/2,25,4.47021829037577,-2.79336147017797,10.0021070510004
Matern 3/2,25,2.92082808872391,-4.34275167182983,1.89882601941165
Matern 5/2,25,2.70923853434848,-4.55434122620526,1.58554774610568
RatQuad,25,2.67479230234885,-4.58878745820489,1.73787343908159
SqExp,50,2.27116680663088,-4.95740837299814,0.97136977469435
Matern 1/2,50,3.71429443516602,-3.514280744463,4.02006713940448
Matern 3/2,50,2.37388706653318,-4.85468811309584,1.00675711205135
Matern 5/2,50,2.29277341979926,-4.93580175982976,0.932821681618716
RatQuad,50,2.2626753540723,-4.96589982555672,0.927424917314479
