Kernel,N,RMSE,MAE,R2
SqExp,5,100.00365233209,66.8912696752053,0.909933085506276
Matern 1/2,5,157.524802141672,90.3619646987399,0.776523712834222
Matern 3/2,5,117.422539998361,72.5846224403218,0.875824332626218
Matern 5/2,5,107.810269269737,68.4000699598965,0.895322383969374
RatQuad,5,100.003649681985,66.8912685086289,0.909933090279838
SqExp,10,22.9578850864642,18.2362887741893,0.995253239527119
Matern 1/2,10,30.7556220185576,19.7842802230661,0.991481118217929
Matern 3/2,10,23.6517280104816,19.1361387845614,0.994961986650604
Matern 5/2,10,30.5452170711712,23.055623674588,0.991597278037413
RatQuad,10,23.0549611531986,18.1472633693007,0.995213011861473
SqExp,25,19.0176486428232,14.6616837812631,0.996742779191352
Matern 1/2,25,20.3423630620626,15.5038412239385,0.996273197620557
Matern 3/2,25,17.2255171307563,12.9190367188165,0.997327743762689
Matern 5/2,25,17.7042857755402,13.505802858747,0.997177133211807
RatQuad,25,18.9928480468359,14.4225861347276,0.996751269025847
SqExp,50,9.8887544517569,8.43246287846529,0.999119322810353
Matern 1/2,50,16.278427180769,12.7421911603436,0.9976135164561
Matern 3/2,50,11.4282635576807,9.51795648135639,0.998823765111946
Matern 5/2,50,10.2518623581666,8.64965466356065,0.999053459730662
RatQuad,50,9.68876513784077,8.20103873191259,0.999154584085983
