Kernel,N,RMSE,MAE,R2
SqExp,5,73.3780301583492,45.36843677556,0.951508495409845
Matern 1/2,5,104.872471115043,72.2454809181098,0.90094952452274
Matern 3/2,5,67.9851709709078,32.6693155784288,0.95837426166003
Matern 5/2,5,68.0771277834842,35.4651589464443,0.958261579471042
RatQuad,5,73.3779576571242,45.3683366626887,0.951508591233942
SqExp,10,17.0421248201567,9.49409670000363,0.997384341478558
Matern 1/2,10,19.4392849619425,11.4086895896122,0.996596747798502
Matern 3/2,10,9.50592920722118,6.45126275292393,0.999186190578931
Matern 5/2,10,12.3599188733012,7.09865508280935,0.998624169913987
RatQuad,10,17.0421557608301,9.4940581386462,0.99738433198088
SqExp,25,2.83622043799294,2.18360248271538,0.999927554147669
Matern 1/2,25,4.68109995079843,3.30781776376934,0.999802653517316
Matern 3/2,25,2.90820249686539,2.17092665933094,0.999923830194304
Matern 5/2,25,2.7152466817655,2.03893834485173,0.99993360243618
RatQuad,25,2.56729692464776,1.8997176017402,0.99994064111112
SqExp,50,2.35372652952798,1.83322584322719,0.99995010631663
Matern 1/2,50,3.04288881710589,2.51783052986034,0.999916611582893
Matern 3/2,50,2.77519610081644,2.26323749669713,0.999930638110539
Matern 5/2,50,2.5039021420174,2.00229808179303,0.999943536438902
RatQuad,50,2.35332757787638,1.8351684813473,0.999950123228943
