Kernel,N,sMSE,Coverage,NLML
SqExp,5,0.0483945215809752,0.83,44.653698016842
Matern 1/2,5,0.0988523745263055,1,46.3625078762567
Matern 3/2,5,0.0415424868632899,1,45.1090381326453
Matern 5/2,5,0.0416549436878999,1,44.7408287620212
RatQuad,5,0.0483944259485261,0.83,44.6536983852858
SqExp,10,0.00261042720439913,0.95,97.2809032326081
Matern 1/2,10,0.00339644569709529,1,85.3524351183846
Matern 3/2,10,0.000812181802227223,1,90.1395968463445
Matern 5/2,10,0.00137307842584121,1,93.0213521372268
RatQuad,10,0.00261043668308206,0.95,97.2808898568454
SqExp,25,7.23009606266715e-05,1,257.012606509474
Matern 1/2,25,0.000196951789718747,1,172.384457698571
Matern 3/2,25,7.601746608512e-05,1,192.709892135179
Matern 5/2,25,6.62647686926577e-05,1,214.540206443825
RatQuad,25,5.924017110246e-05,1,196.187117067459
SqExp,50,4.97938960036574e-05,1,531.143613340022
Matern 1/2,50,8.32216402731599e-05,1,305.234532857372
Matern 3/2,50,6.9223165682622e-05,1,344.736961347998
Matern 5/2,50,5.63506339755518e-05,1,381.425996096972
RatQuad,50,4.97770175148158e-05,1,363.167879437047
