Kernel,N,NLPD,MSLL,CRPS
SqExp,5,5.62975904007804,-1.60307120321483,52.3930976953781
Matern 1/2,5,6.32199064849458,-0.910839594798298,80.6062622523673
Matern 3/2,5,5.64667695092089,-1.58615329237199,56.4933140004833
Matern 5/2,5,5.53483082990914,-1.69799941338373,52.90194852215
RatQuad,5,5.62975538131306,-1.60307486197981,52.3931052774702
SqExp,10,4.60152119693312,-2.63879898521482,14.115118658497
Matern 1/2,10,5.47080570143324,-1.76951448071469,27.2567738245712
Matern 3/2,10,4.29607894110747,-2.94424124104047,11.2831373098622
Matern 5/2,10,4.08897061763115,-3.15134956451679,10.7080488487141
RatQuad,10,4.60151407132739,-2.63880611082055,14.1150913805314
SqExp,25,3.13825117154723,-4.09284129661277,3.2498117701396
Matern 1/2,25,4.48352712144417,-2.74756534671583,10.0212029675912
Matern 3/2,25,2.99035889110788,-4.24073357705212,2.48374470985369
Matern 5/2,25,2.80748761835789,-4.42360484980212,2.27186355247413
RatQuad,25,2.83215626509123,-4.39893620306877,2.57561755375296
SqExp,50,2.56362970938502,-4.66580808445921,1.56412042083531
Matern 1/2,50,3.75849329397189,-3.47094449987234,4.35399991138286
Matern 3/2,50,2.65223268583295,-4.57720510801128,1.78537840193014
Matern 5/2,50,2.5746318662227,-4.65480592762153,1.63379295330956
RatQuad,50,2.54093114256543,-4.6885066512788,1.54978912264353
