Kernel,N,sMSE,Coverage,NLML
SqExp,5,0.0487576685127131,0.8,44.7030492335134
Matern 1/2,5,0.102747615435682,0.998,46.3400144704577
Matern 3/2,5,0.0425202676098634,0.99,45.1845987848062
Matern 5/2,5,0.0424780605664912,0.982,44.8145662453029
RatQuad,5,0.04875810908434,0.798,44.7030593922494
SqExp,10,0.00425211424666601,1,95.3383455283033
Matern 1/2,10,0.00385413168431137,0.996,85.9316557200122
Matern 3/2,10,0.00365064093206843,0.918,90.7064208850585
Matern 5/2,10,0.00472079211576526,0.796,93.5195435424095
RatQuad,10,0.00425211318265428,1,95.3383451007395
SqExp,25,0.00158261514022126,1,253.175535460404
Matern 1/2,25,0.00176362001061291,0.98,173.030640225983
Matern 3/2,25,0.00161158801042683,0.91,201.651003981727
Matern 5/2,25,0.00132583624402023,1,220.063756115208
RatQuad,25,0.00141937406190983,1,213.656002423765
SqExp,50,0.000854908732750977,1,509.465247548632
Matern 1/2,50,0.00206349066758569,0.948,312.817192755764
Matern 3/2,50,0.00112987967942707,1,365.216714310137
Matern 5/2,50,0.000929456065365835,1,405.510794124605
RatQuad,50,0.000882122548755552,1,355.776397311964
