Kernel,N,NLPD,MSLL,CRPS
SqExp,5,5.29783732507224,-1.99194013776649,34.0586859272686
Matern 1/2,5,6.36555155291789,-0.924225909920839,69.1642650703584
Matern 3/2,5,5.5234413829617,-1.76633607987704,36.6439254806247
Matern 5/2,5,5.3001555514159,-1.98962191142283,32.8911198970895
RatQuad,5,5.29782076775852,-1.99195669508021,34.0586130928072
SqExp,10,4.27199748237522,-2.978811232595,9.02765915540668
Matern 1/2,10,5.36135257538467,-1.88945613958555,22.2712941468125
Matern 3/2,10,4.08069378320146,-3.17011493176877,7.05212000329377
Matern 5/2,10,3.80487535201263,-3.44593336295759,6.3626815854316
RatQuad,10,4.27199098809776,-2.97881772687246,9.02762650683318
SqExp,25,2.66399385319895,-4.56771435149194,1.7401179921803
Matern 1/2,25,4.38708286443697,-2.84462534025393,8.10162151857283
Matern 3/2,25,2.80372115850817,-4.42798704618273,1.90508054526063
Matern 5/2,25,2.645353342586,-4.5863548621049,1.68050973676633
RatQuad,25,2.58961137354598,-4.64209683114491,1.58851151185543
SqExp,50,2.46722926616611,-4.76138155707191,1.43317209179084
Matern 1/2,50,3.74774147816935,-3.48086934506867,4.27370877001411
Matern 3/2,50,2.61329715360317,-4.61531366963485,1.68686761169895
Matern 5/2,50,2.52148323039039,-4.70712759284763,1.52710564424455
RatQuad,50,2.47473807942077,-4.75387274381725,1.44093710530329
