Kernel,N,sMSE,Coverage,NLML
SqExp,5,0.0728310872185094,0.544,47.5776396406938
Matern 1/2,5,0.209655565360843,0.998,53.1158638968885
Matern 3/2,5,0.11731113534917,0.72,48.6885258526353
Matern 5/2,5,0.0947637849697391,0.68,47.3807632019995
RatQuad,5,0.072831064507367,0.544,47.5776398109603
SqExp,10,0.0231391468874744,0.836,94.9163656938952
Matern 1/2,10,0.0119647378065144,0.992,82.2921624717354
Matern 3/2,10,0.0179719511706121,0.8,86.069965039264
Matern 5/2,10,0.0274612500854085,0.838,89.3701234464176
RatQuad,10,0.0252258179213433,0.83,93.4628700637665
SqExp,25,0.00887294273924612,0.934,250.829478841827
Matern 1/2,25,0.0102006789221707,0.94,174.186026929256
Matern 3/2,25,0.00896128227266827,0.964,207.689538477465
Matern 5/2,25,0.00924834187562274,0.934,222.123251952031
RatQuad,25,0.00951111878955504,0.914,231.812865715799
SqExp,50,0.00278151925264853,1,474.517977869371
Matern 1/2,50,0.00956508243270638,0.858,331.607696814245
Matern 3/2,50,0.00335999529338987,1,370.167969582632
Matern 5/2,50,0.00278333713605602,1,399.061764476277
RatQuad,50,0.0026155294319714,1,376.953393940386
