Kernel,N,RMSE,MAE,R2
SqExp,5,109.70379567849,72.5469865889872,0.891613081292074
Matern 1/2,5,164.321054321719,93.9035478723888,0.756824404883768
Matern 3/2,5,123.326340559587,72.55878861555,0.863023756516688
Matern 5/2,5,115.186639689116,71.0936227468077,0.880508289066021
RatQuad,5,109.703809918765,72.5469754617182,0.8916130531534
SqExp,10,18.9406919422805,11.7411846128722,0.996769087154173
Matern 1/2,10,28.6888011788768,15.0247368464868,0.992587608263055
Matern 3/2,10,7.39261074660279,5.77580560166328,0.999507814017983
Matern 5/2,10,9.83370833292022,7.44228441692295,0.999129100165948
RatQuad,10,18.9405406848847,11.741039267136,0.996769138757093
SqExp,25,6.29382448002207,4.40172965287528,0.999643250957319
Matern 1/2,25,12.9226259911823,6.57806320905561,0.998496044064712
Matern 3/2,25,3.61349973487494,2.8250286380417,0.999882404794287
Matern 5/2,25,4.20751150368566,3.15682280169155,0.999840564809183
RatQuad,25,4.96569337675862,3.68403256921736,0.999777928226986
SqExp,50,2.49157057149034,2.10292233850974,0.9999440912288
Matern 1/2,50,3.37330582293359,2.64890954574225,0.999897518613194
Matern 3/2,50,2.98787050974943,2.4267614813269,0.999919599804379
Matern 5/2,50,2.68881772095504,2.22475504531685,0.999934888712175
RatQuad,50,2.50007691620297,2.12280966122479,0.999943708826542
