Kernel,N,NLPD,MSLL,CRPS
SqExp,5,53.7306939013849,46.4932186537649,65.1131295400847
Matern 1/2,5,6.30023508061821,-0.93724016700176,78.3120715249895
Matern 3/2,5,9.40318592919783,2.16571068157786,66.9468889657927
Matern 5/2,5,14.2758997911656,7.03842454354563,65.3020059878344
RatQuad,5,53.730707507642,46.493232260022,65.1131300091677
SqExp,10,6.08052836776466,-1.17136403115204,61.1467880700794
Matern 1/2,10,6.14173638052151,-1.11015601839519,39.1752677748553
Matern 3/2,10,7.88225799658587,0.630365597669178,47.8477238833189
Matern 5/2,10,6.26842925564872,-0.98346314326797,53.0781698087346
RatQuad,10,6.08052829613262,-1.17136410278408,61.1467835354909
SqExp,25,5.40966193493761,-1.82271075723845,31.4632384490124
Matern 1/2,25,6.47634960576636,-0.756023086409701,36.3416847533753
Matern 3/2,25,5.439128929466,-1.79324376271006,32.3852762100176
Matern 5/2,25,5.43897645747142,-1.79339623470464,32.5706876309703
RatQuad,25,5.44090368883533,-1.79146900334074,32.6658099651938
SqExp,50,5.46689743659006,-1.77046114322214,25.3013640900738
Matern 1/2,50,5.45173927435902,-1.78561930545318,29.230345804108
Matern 3/2,50,5.42153289595311,-1.81582568385909,24.2857889227974
Matern 5/2,50,5.43258116627807,-1.80477741353412,24.2197450344397
RatQuad,50,5.44553404381847,-1.79182453599373,24.504328212437
