Kernel,N,sMSE,Coverage,NLML
SqExp,5,0.108170144870511,0.77,52.3760644889865
Matern 1/2,5,0.242689243926,0.978,54.8751177757914
Matern 3/2,5,0.136702290996345,1,52.3287826660064
Matern 5/2,5,0.119252727512111,0.888,51.7952085726249
RatQuad,5,0.108170172952906,0.77,52.3760659373665
SqExp,10,0.0032244510201358,0.854,95.1976369249429
Matern 1/2,10,0.00739756695347092,1,80.9785806948321
Matern 3/2,10,0.000491201610053102,1,84.6286819143948
Matern 5/2,10,0.000869158034384358,1,89.1586559811349
RatQuad,10,0.00322439952042101,0.854,95.1976032280151
SqExp,25,0.000356035544595868,0.868,241.978466455044
Matern 1/2,25,0.0015009480234176,1,168.83054340507
Matern 3/2,25,0.000117360015301751,1,187.531390538253
Matern 5/2,25,0.000159116320435628,1,205.403600558681
RatQuad,25,0.000221627629467791,0.982,205.74336541317
SqExp,50,5.57969536580563e-05,1,516.539976736809
Matern 1/2,50,0.000102276424032208,1,305.254117894209
Matern 3/2,50,8.02393952300988e-05,1,344.900916389381
Matern 5/2,50,6.49810652493865e-05,1,379.826032021239
RatQuad,50,5.61785911112101e-05,1,363.408318712683
