Kernel,N,RMSE,MAE,R2
SqExp,5,112.173348140214,73.7719060039009,0.886678340050127
Matern 1/2,5,166.505976019587,95.2215315137569,0.75031456321493
Matern 3/2,5,125.218704396654,73.0871990451146,0.858787879803686
Matern 5/2,5,117.334216391864,71.8923527969983,0.876011068800163
RatQuad,5,112.173316828805,73.7718972882441,0.886678403314001
SqExp,10,103.024148090702,62.5195917025611,0.904410183957277
Matern 1/2,10,128.733341287274,73.8932668695823,0.850749551485442
Matern 3/2,10,25.029091759106,11.4434471299862,0.994358121324422
Matern 5/2,10,32.0252013840614,16.5507608520415,0.990763290168779
RatQuad,10,34.4161259746926,21.8575993386028,0.989332625866922
SqExp,25,4.14322094450602,2.19023116254161,0.999845399907777
Matern 1/2,25,14.3721953392685,5.66154222275368,0.998139713714542
Matern 3/2,25,1.04863419187614,0.493715950251501,0.99999009666226
Matern 5/2,25,2.1272639583982,0.957041564171995,0.999959245429006
RatQuad,25,3.16609214744758,1.53621183831566,0.999909722263209
SqExp,50,0.965910379248658,0.654661534621486,0.99999159752503
Matern 1/2,50,0.99269827623939,0.500929466284415,0.999991125005404
Matern 3/2,50,0.270544910543936,0.118957203058551,0.999999340807437
Matern 5/2,50,0.361996423213885,0.175160469712273,0.999998819836658
RatQuad,50,0.654352465728603,0.374292035832264,0.999996143822216
