Kernel,N,sMSE,Coverage,NLML
SqExp,5,0.0663284614609568,0.708,44.7735436526974
Matern 1/2,5,0.134586599281104,0.996,46.1323424895524
Matern 3/2,5,0.0606674714181472,0.94,45.3247727699075
Matern 5/2,5,0.0608347206221255,0.904,44.9662184200317
RatQuad,5,0.0663303412133055,0.708,44.7735492726197
SqExp,10,0.0291034208375402,1,92.7160943422245
Matern 1/2,10,0.0298575954905811,0.966,87.9382692950847
Matern 3/2,10,0.0440335069787723,0.776,91.6457438142854
Matern 5/2,10,0.0315169686611845,1,91.8731078238843
RatQuad,10,0.0291034209304972,1,92.7160926286396
SqExp,25,0.0150809523536613,1,233.724046162438
Matern 1/2,25,0.0252968672677808,0.862,182.920650458194
Matern 3/2,25,0.0156875548095881,1,204.540497402644
Matern 5/2,25,0.0152713051439552,1,217.282576964735
RatQuad,25,0.0150809540496571,1,233.724047031976
SqExp,50,0.00917948790902566,1,469.310070029165
Matern 1/2,50,0.0221578189801106,0.99,346.700662596138
Matern 3/2,50,0.0108037263362921,1,395.852447923974
Matern 5/2,50,0.00969539060935558,1,426.316223035018
RatQuad,50,0.0100886756429644,1,372.243077756867
