Kernel,N,NLPD,MSLL,CRPS
SqExp,5,5.30661032126763,-1.98231440433046,34.1479777273176
Matern 1/2,5,6.35707609260067,-0.931848632997419,68.7262515192528
Matern 3/2,5,5.51190511779571,-1.77701960780238,36.448431189809
Matern 5/2,5,5.29098581105284,-1.99793891454525,32.8018344591626
RatQuad,5,5.30658968863119,-1.9823350369669,34.1479032138656
SqExp,10,5.01027841434165,-2.2395487290409,8.01020407220262
Matern 1/2,10,5.35389228865642,-1.89593485472613,22.2357462275202
Matern 3/2,10,4.02882399298954,-3.22100315039301,6.61660587850916
Matern 5/2,10,3.71419866514517,-3.53562847823738,5.71234605808558
RatQuad,10,5.01666713692119,-2.23316000646136,8.01018473655443
SqExp,25,2.45597775173935,-4.77558340974437,1.20546540898043
Matern 1/2,25,4.37987624343116,-2.85168491805256,7.97851908277145
Matern 3/2,25,2.66903697217344,-4.56252418931029,1.35791697319623
Matern 5/2,25,2.48244749667448,-4.74911366480924,1.12981670082194
RatQuad,25,2.44165556847783,-4.7899055930059,1.12228264295652
SqExp,50,2.31201954481863,-4.91664695524212,1.0039997052924
Matern 1/2,50,3.7150702206864,-3.51359627937435,4.00907534405052
Matern 3/2,50,2.41233626872678,-4.81633023133397,1.04452507975553
Matern 5/2,50,2.33462084359923,-4.89404565646152,0.970220819108638
RatQuad,50,2.30501450534149,-4.92365199471926,0.962792125847557
