Kernel,N,RMSE,MAE,R2
SqExp,5,73.6528257684916,46.142433572715,0.951144620728744
Matern 1/2,5,106.918738064461,73.0653234617611,0.897046477519357
Matern 3/2,5,68.7805973118904,34.219471360659,0.957394521433003
Matern 5/2,5,68.7464518727262,36.8600748815527,0.957436813059628
RatQuad,5,73.6531585291932,46.1449936399989,0.951144179274208
SqExp,10,21.7505583892453,18.5801765077497,0.995739364482299
Matern 1/2,10,20.7076694103083,16.0720145447465,0.996138144604898
Matern 3/2,10,20.1535941206075,15.9696823095007,0.99634204315424
Matern 5/2,10,22.9179298956646,17.4287296016548,0.995269747378993
RatQuad,10,21.7505556679107,18.5801735231196,0.995739365548443
SqExp,25,13.2695320127713,10.8323577262907,0.998414213286351
Matern 1/2,25,14.007816933675,10.4292536425958,0.998232845680749
Matern 3/2,25,13.3904435300698,9.88876464245456,0.998385182354282
Matern 5/2,25,12.1454299073308,9.2848459501929,0.998671506769519
RatQuad,25,12.5665591774692,9.98457160287608,0.998577781501092
SqExp,50,9.75276646946125,7.06212633096992,0.999143378023296
Matern 1/2,50,15.1519735310204,12.3944422984017,0.997932374080575
Matern 3/2,50,11.2120247425097,8.85274927233636,0.998867856032638
Matern 5/2,50,10.1690967991441,7.68695643386883,0.999068681297229
RatQuad,50,9.90677752626502,7.31649070898489,0.999116109670586
