Kernel,N,RMSE,MAE,R2
SqExp,5,90.0173751478829,58.7267562289758,0.927022958698888
Matern 1/2,5,152.728872670894,90.4127395861505,0.789924283205568
Matern 3/2,5,114.245096130955,74.7435812128997,0.882453772195221
Matern 5/2,5,102.680777325781,67.4565130468627,0.905046307645552
RatQuad,5,90.0173611126841,58.7267482243696,0.927022981455544
SqExp,10,50.7389668631872,41.2828448545453,0.976814482076679
Matern 1/2,10,36.4854360862614,26.4826760533235,0.988011284763012
Matern 3/2,10,44.7162693459083,35.9505874171341,0.981992032895178
Matern 5/2,10,55.2749171204275,42.4931595110045,0.97248371734929
RatQuad,10,52.9773922444594,42.3172395133088,0.974723629337331
SqExp,25,31.4196821932087,25.2908926504617,0.991109275812379
Matern 1/2,25,33.6885630803864,26.9131416830327,0.9897788788355
Matern 3/2,25,31.5757029078661,24.1824917964617,0.991020759245823
Matern 5/2,25,32.0774536592283,24.8555676707249,0.990733124373124
RatQuad,25,32.5299766379129,25.4658121604086,0.990469820852149
SqExp,50,17.5917475318732,14.9559447713594,0.997212906560472
Matern 1/2,50,32.6221294726819,25.4905657337297,0.990415749065425
Matern 3/2,50,19.3346931036222,16.0288112918609,0.996633271249108
Matern 5/2,50,17.5974952042056,14.4963320218419,0.997211085034012
RatQuad,50,17.0587715881518,14.0630592647969,0.997379229026081
