Kernel,N,NLPD,MSLL,CRPS
SqExp,5,5.42086727101723,-1.87254499637375,35.135111053642
Matern 1/2,5,6.40939239110851,-0.884019876282478,71.226052759081
Matern 3/2,5,5.62831025116953,-1.66510201622146,38.2188844637107
Matern 5/2,5,5.42530097867004,-1.86811128872094,34.271795265415
RatQuad,5,5.42945773402763,-1.86395453336335,35.1442516723999
SqExp,10,4.97809652168394,-2.27712574887851,15.9054380139765
Matern 1/2,10,5.43431146257219,-1.82091080799027,23.5585925022744
Matern 3/2,10,4.81421549834781,-2.44100677221465,12.3393611721361
Matern 5/2,10,5.02856791982696,-2.22665435073549,13.1130855120899
RatQuad,10,4.97809653050647,-2.27712574005598,15.9054374759633
SqExp,25,4.11955423044481,-3.11286290280514,7.85566821648062
Matern 1/2,25,4.56759279789763,-2.66482433535232,10.4589111848001
Matern 3/2,25,4.03300029050677,-3.19941684274318,7.34997211824642
Matern 5/2,25,4.0206427089277,-3.21177442432224,7.07349549435338
RatQuad,25,4.07031892797349,-3.16209820527646,7.42702630599388
SqExp,50,4.01738480058322,-3.21107653818742,6.39449083898203
Matern 1/2,50,4.36480443677799,-2.86365690199266,9.08497406992088
Matern 3/2,50,4.01994634425916,-3.20851499451149,6.82640899453984
Matern 5/2,50,3.99854572461183,-3.22991561415881,6.43538756752503
RatQuad,50,4.00432489471907,-3.22413644405158,6.37967654419742
