Kernel,N,RMSE,MAE,R2
SqExp,5,105.879617398875,69.7032723348731,0.899037920201872
Matern 1/2,5,152.021802173653,100.675811634432,0.791864905222753
Matern 3/2,5,122.409554700441,85.1329347183291,0.865052700549018
Matern 5/2,5,113.797545139867,75.81741692855,0.883372934377358
RatQuad,5,105.879619266854,69.7032706276723,0.899037916639429
SqExp,10,119.4759067762,90.7868450093982,0.871443443053755
Matern 1/2,10,54.0270044289868,41.4661917260886,0.973712133620581
Matern 3/2,10,84.8018102612682,68.0704261044209,0.935234487242784
Matern 5/2,10,100.368471456116,78.5977987799688,0.909274748210208
RatQuad,10,119.475899903386,90.7868400708696,0.871443457844105
SqExp,25,56.5098791305937,45.9604928792733,0.971240434623989
Matern 1/2,25,63.0153814650514,49.8833682553368,0.964237596327919
Matern 3/2,25,58.4067326463016,45.8467807695522,0.969277299613473
Matern 5/2,25,59.0349722267238,46.4188346732607,0.968612820700416
RatQuad,25,59.2994181390446,46.9265099353238,0.968330994479046
SqExp,50,32.7306232136616,27.6332913659635,0.990351893003564
Matern 1/2,50,48.9220253846927,39.2070721176712,0.978445278341286
Matern 3/2,50,31.8511932815739,25.4488632022298,0.990863392324113
Matern 5/2,50,30.5010495204342,24.6812443431835,0.991621560682223
RatQuad,50,30.6884808083948,25.9526442468464,0.991518271991827
