Kernel,N,NLPD,MSLL,CRPS
SqExp,5,5.86168680467578,-1.43677432278431,38.6375581130274
Matern 1/2,5,6.48464746310205,-0.81381366435803,74.4124838667089
Matern 3/2,5,5.8707372014704,-1.42772392598969,41.4661558184859
Matern 5/2,5,5.74879206487628,-1.5496690625838,37.5902913777731
RatQuad,5,5.89855990157845,-1.39990122588164,38.6543214800197
SqExp,10,5.30954151192747,-1.95230494205985,22.867771462936
Matern 1/2,10,5.60623190435571,-1.65561454963161,27.2188035850763
Matern 3/2,10,6.54498806923322,-0.716858384754095,22.2062836241275
Matern 5/2,10,5.04920091389838,-2.21264554008894,20.301895320283
RatQuad,10,5.30954151865525,-1.95230493533206,22.867770712821
SqExp,25,4.77782611119137,-2.45578025630707,15.4218628092674
Matern 1/2,25,5.0600248833243,-2.17358148417414,15.9291645708953
Matern 3/2,25,4.64069361026531,-2.59291275723313,13.3378872259431
Matern 5/2,25,4.67044901051956,-2.56315735697888,13.5614548511855
RatQuad,25,4.70421102473781,-2.52939534276062,14.0909947994698
SqExp,50,4.77461316009608,-2.45379670496538,13.0074603212016
Matern 1/2,50,5.42903729927247,-1.79937256578899,18.0095798514928
Matern 3/2,50,4.67639769064276,-2.5520121744187,12.6073255212834
Matern 5/2,50,4.67699711870809,-2.55141274635336,12.2237287215419
RatQuad,50,4.68480416882019,-2.54360569624127,12.2918593191906
