Kernel,N,sMSE,Coverage,NLML
SqExp,5,0.113095016629974,0.808,52.7640089042664
Matern 1/2,5,0.2491860659115,0.97,55.0681690405864
Matern 3/2,5,0.140929695955921,1,52.7235750959078
Matern 5/2,5,0.123740953337438,0.914,52.2329336612048
RatQuad,5,0.113094953492627,0.808,52.7640070697282
SqExp,10,0.0953986364106373,0.794,82.3435427468716
Matern 1/2,10,0.148951947617529,0.93,78.3176532845269
Matern 3/2,10,0.0056305949182265,1,84.1406858627797
Matern 5/2,10,0.00921823641155842,1,85.8499490295064
RatQuad,10,0.0106460393848122,1,89.5888031794452
SqExp,25,0.000154290892038867,0.954,245.712560603711
Matern 1/2,25,0.00185656571288725,1,170.328031638697
Matern 3/2,25,9.8835310641114e-06,1,189.350293734325
Matern 5/2,25,4.06730618517109e-05,1,205.478487227947
RatQuad,25,9.00971813175262e-05,1,204.481890255457
SqExp,50,8.38567002051176e-06,1,529.901294532426
Matern 1/2,50,8.85724460715357e-06,1,304.211390832549
Matern 3/2,50,6.578741774001e-07,1,338.608132384178
Matern 5/2,50,1.17780301551273e-06,1,373.800944261802
RatQuad,50,3.84846542881355e-06,1,375.751319625916
