Kernel,N,sMSE,Coverage,NLML
SqExp,5,0.0485819264378743,0.824,44.639316314437
Matern 1/2,5,0.0981707547888702,1,46.3655956208283
Matern 3/2,5,0.041557783818094,1,45.0874149019906
Matern 5/2,5,0.041718652157996,1,44.7200805591425
RatQuad,5,0.0485818398190283,0.824,44.6393167392092
SqExp,10,0.00298509522739488,0.816,97.6023462468237
Matern 1/2,10,0.00371147195156704,1,85.2155961288648
Matern 3/2,10,0.000654005508349653,1,89.9898856887766
Matern 5/2,10,0.00110569260044187,1,92.886207275989
RatQuad,10,0.00298572918042296,0.816,97.6030471499351
SqExp,25,1.77134667121163e-05,1,262.943207702565
Matern 1/2,25,0.000114357780059956,1,172.400979487607
Matern 3/2,25,1.15793504500608e-06,1,192.380758270884
Matern 5/2,25,2.0961343260134e-06,1,212.428624928576
RatQuad,25,7.49020114282631e-06,1,205.094490691985
SqExp,50,8.08794177226234e-06,1,530.672499386757
Matern 1/2,50,7.71131985742563e-06,1,304.750529601126
Matern 3/2,50,5.73622314599721e-07,1,340.081128885788
Matern 5/2,50,9.86595057675699e-07,1,375.5884862335
RatQuad,50,3.60167601977807e-06,1,374.941635083502
