Kernel,N,RMSE,MAE,R2
SqExp,5,85.9048947889402,65.4807381037455,0.933538615770584
Matern 1/2,5,122.368280725088,84.702524978324,0.865143688095086
Matern 3/2,5,82.1572503035974,61.6727216568178,0.939210950482818
Matern 5/2,5,82.2704186724692,63.858621439581,0.939043366110095
RatQuad,5,85.906112055104,65.4825137348853,0.933536732251197
SqExp,10,56.903629512505,44.8311359775341,0.970838255673807
Matern 1/2,10,57.6362031479385,44.9344676357566,0.970082569648716
Matern 3/2,10,69.9938022559249,57.0200494519774,0.955878249520268
Matern 5/2,10,59.2161500732324,44.955298723265,0.968419871080977
RatQuad,10,56.9036296033807,44.8311348094307,0.970838255580664
SqExp,25,40.9621112158296,35.0280735853303,0.984888825296933
Matern 1/2,25,53.0519460700013,38.8324582108669,0.974652437607434
Matern 3/2,25,41.7778009669911,32.5916049945088,0.984281007204822
Matern 5/2,25,41.2198138359612,33.8830021643991,0.984698091038121
RatQuad,25,40.9621135191181,35.028075589327,0.984888823597538
SqExp,50,31.9578221512895,25.5747586892582,0.990802116323622
Matern 1/2,50,49.6513948390938,40.325717627693,0.977797776573036
Matern 3/2,50,34.6700713833445,26.8887185550139,0.989174622909527
Matern 5/2,50,32.8435886227456,25.7836785351264,0.990285179750145
RatQuad,50,33.5031026654325,25.795269906332,0.989891106570176
