Kernel,N,NLPD,MSLL,CRPS
SqExp,5,11.1485593273048,3.91478128346385,49.5229141683303
Matern 1/2,5,6.25324730570745,-0.98053073813355,76.346579349126
Matern 3/2,5,6.34301005047848,-0.890767993362523,56.6075218730937
Matern 5/2,5,7.05765089756304,-0.176127146277962,52.436903443337
RatQuad,5,11.1494959645633,3.91571792072232,49.5230412003167
SqExp,10,5.59596287718921,-1.64937462311826,28.4543500988449
Matern 1/2,10,5.66265889040981,-1.58267860989766,30.7593468236835
Matern 3/2,10,7.1972264751405,-0.0481110251669684,26.0827771460985
Matern 5/2,10,5.66850572758044,-1.57683177272702,29.0179826566666
RatQuad,10,5.62909763830998,-1.61623986199748,28.9005659619129
SqExp,25,4.7958199399195,-2.43650560729919,17.2676647195327
Matern 1/2,25,5.24073353025097,-1.99159201696772,19.6430843953879
Matern 3/2,25,4.812992386558,-2.4193331606607,17.375997107483
Matern 5/2,25,4.81031289358071,-2.42201265363798,17.5052913223157
RatQuad,25,4.82496156670314,-2.40736398051555,17.7289590520788
SqExp,50,4.80171949747415,-2.43000399358315,13.1776754406885
Matern 1/2,50,5.65461441362259,-1.57710907743471,18.8339028106855
Matern 3/2,50,4.75442612234544,-2.47729736871186,13.1533297725413
Matern 5/2,50,4.75682173150993,-2.47490175954737,12.7626775250735
RatQuad,50,4.76617891510086,-2.46554457595644,12.7309463994555
