Kernel,N,State,NLPD,MSLL,CRPS
SqExp,5,X,-2.7736645604588,-1.77746049895658,0.00770450985030883
SqExp,5,Y,-5.98879172396175,4.39224091358923,0.00023371465909911
SqExp,5,Z,-2.80400697814128,-1.80812879476931,0.00773191076617626
Matern 1/2,5,X,-2.25262458594842,-1.25642052444619,0.0115705710890333
Matern 1/2,5,Y,-5.98879172395186,4.39224091359912,0.000233714659102309
Matern 1/2,5,Z,-2.18837324373618,-1.19249506036421,0.0119722083243407
Matern 3/2,5,X,-2.95242112942936,-1.95621706792714,0.00702584394864252
Matern 3/2,5,Y,-5.98879172397522,4.39224091357576,0.000233714659096577
Matern 3/2,5,Z,-2.66721183217277,-1.6713336488008,0.00796845339394696
Matern 5/2,5,X,-2.65896012190267,-1.66275606040045,0.00671006836939965
Matern 5/2,5,Y,-5.98879172394747,4.39224091360351,0.000233714659102849
Matern 5/2,5,Z,-2.2598701206805,-1.26399193730853,0.00773348002074513
RatQuad,5,X,-2.85041294217753,-1.85420888067531,0.00732210228516944
RatQuad,5,Y,-5.98879172403909,4.39224091351188,0.000233714659080671
RatQuad,5,Z,-2.91368840923095,-1.91781022585899,0.00733106078418093
SqExp,10,X,-4.21871321633062,-3.0781713491551,0.00193497203765519
SqExp,10,Y,-5.98879859647949,4.60846193373583,0.000233709175790334
SqExp,10,Z,-4.03539630724036,-2.90116839132227,0.00228478978764432
Matern 1/2,10,X,-3.11176371111915,-1.97122184394364,0.0046172086000876
Matern 1/2,10,Y,-5.98879859647618,4.60846193373914,0.000233709175788534
Matern 1/2,10,Z,-3.08708083208203,-1.95285291616394,0.00486825977182863
Matern 3/2,10,X,-4.3326274884755,-3.19208562129999,0.00173295312024395
Matern 3/2,10,Y,-5.98879859653066,4.60846193368466,0.000233709175777042
Matern 3/2,10,Z,-3.85307417927624,-2.71884626335815,0.00223578120994376
Matern 5/2,10,X,-4.19848289709202,-3.0579410299165,0.00188645807482471
Matern 5/2,10,Y,-5.9887985965585,4.60846193365682,0.00023370917577105
Matern 5/2,10,Z,-4.01688987790767,-2.88266196198958,0.00225711102069223
RatQuad,10,X,-4.20176516728466,-3.06122330010914,0.00194779948391513
RatQuad,10,Y,-5.98879859648942,4.6084619337259,0.00023370917578798
RatQuad,10,Z,-4.02285086388013,-2.88862294796204,0.00229689945974898
SqExp,25,X,-4.28332889297031,-3.0939084523757,0.0018840108136421
SqExp,25,Y,-5.98880086538936,4.6926382490775,0.000233707365460271
SqExp,25,Z,-4.19724689292908,-3.01138316830673,0.00193833911119823
Matern 1/2,25,X,-3.83997437642397,-2.65055393582936,0.00246475909631205
Matern 1/2,25,Y,-5.98880086559187,4.69263824887499,0.00023370736538692
Matern 1/2,25,Z,-3.81029380997117,-2.62443008534881,0.00249321124309093
Matern 3/2,25,X,-4.2495009560811,-3.06008051548649,0.00191763496344974
Matern 3/2,25,Y,-5.98880086549724,4.69263824896962,0.000233707365429037
Matern 3/2,25,Z,-4.17497005886422,-2.98910633424187,0.00191815557241724
Matern 5/2,25,X,-4.27364599119712,-3.08422555060251,0.00187940290946523
Matern 5/2,25,Y,-5.98880086537421,4.69263824909265,0.000233707365462769
Matern 5/2,25,Z,-4.1963164912012,-3.01045276657885,0.00190322765086013
RatQuad,25,X,-4.28245961426373,-3.09303917366912,0.00188065997346665
RatQuad,25,Y,-5.98880086547637,4.69263824899049,0.000233707365439422
RatQuad,25,Z,-4.19206616421413,-3.00620243959178,0.00194442513069191
SqExp,50,X,-4.6345347339261,-3.43539098092062,0.00110471278683821
SqExp,50,Y,-5.98880125310207,4.70676213468734,0.000233707056204378
SqExp,50,Z,-4.33286307031463,-3.13417636514065,0.00141169343290389
Matern 1/2,50,X,-4.30775076174257,-3.10860700873709,0.00159516913257411
Matern 1/2,50,Y,-5.98880125312284,4.70676213466658,0.000233707056154689
Matern 1/2,50,Z,-4.06042620781879,-2.86173950264481,0.0020726204715695
Matern 3/2,50,X,-4.55780410368237,-3.35866035067688,0.00117686871880999
Matern 3/2,50,Y,-5.98880125308665,4.70676213470276,0.000233707056206631
Matern 3/2,50,Z,-4.34135356706748,-3.1426668618935,0.001461488853832
Matern 5/2,50,X,-4.60797191823712,-3.40882816523164,0.00112414887718815
Matern 5/2,50,Y,-5.9888012530706,4.70676213471882,0.000233707056211416
Matern 5/2,50,Z,-4.32184058941625,-3.12315388424228,0.00140143076599273
RatQuad,50,X,-4.63406371198564,-3.43491995898016,0.00109953746653526
RatQuad,50,Y,-5.98880125299564,4.70676213479377,0.000233707056229157
RatQuad,50,Z,-4.32792236216498,-3.129235656991,0.00140846868340515
