Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,X,0.0340778641362688,1,64.691489910206
SqExp,5,Y,1.64465520725589,1,-29.9438298541934
SqExp,5,Z,0.0333073346020737,1,0.772802134599064
Matern 1/2,5,X,0.0341049768661749,1,101.695976003297
Matern 1/2,5,Y,1.64465529679841,1,-29.9438298918658
Matern 1/2,5,Z,0.0323347707990861,1,2.72026975220209
Matern 3/2,5,X,0.0377469942346328,0.88,50.3645014164014
Matern 3/2,5,Y,1.64465527030297,1,-29.9438298842113
Matern 3/2,5,Z,0.0383286489107244,0.888,0.21544425443789
Matern 5/2,5,X,0.0325448757796176,0.81,51.143774332884
Matern 5/2,5,Y,1.6446552489399,1,-29.9438298754473
Matern 5/2,5,Z,0.0330397727406478,0.83,0.215956339196264
RatQuad,5,X,0.0325042668944356,1,58.140443535544
RatQuad,5,Y,1.6446551661551,1,-29.9438298460187
RatQuad,5,Z,0.0318095266060926,1,0.502932435007415
SqExp,10,X,0.00157584695769439,0.94,37.3923699235178
SqExp,10,Y,1.18829017897045,1,-59.8874608531031
SqExp,10,Z,0.00172438075556664,0.932,-0.0984986351629722
Matern 1/2,10,X,0.00315432366538927,1,80.700951954721
Matern 1/2,10,Y,1.18828983516974,1,-59.887460795639
Matern 1/2,10,Z,0.00349741006428427,1,-3.85981528727401
Matern 3/2,10,X,0.00183508071806134,0.924,12.4344586737483
Matern 3/2,10,Y,1.18828999620508,1,-59.8874603620353
Matern 3/2,10,Z,0.00206325965033556,0.914,-0.304763384425991
Matern 5/2,10,X,0.00101347449688531,0.916,17.7754309597342
Matern 5/2,10,Y,1.18829006543672,1,-59.8874600581005
Matern 5/2,10,Z,0.0012380328399207,0.912,1.491818430103
RatQuad,10,X,0.00153042824955084,0.94,24.6646103270737
RatQuad,10,Y,1.18829017635633,1,-59.8874608536129
RatQuad,10,Z,0.00119354926876053,0.924,0.417506545115241
SqExp,25,X,0.000170915808880994,0.978,26.2336867407892
SqExp,25,Y,1.03085878290784,1,-149.71822706004
SqExp,25,Z,0.000149258344771938,0.958,3.59878281092521
Matern 1/2,25,X,0.00020895462130576,1,-5.65567076043224
Matern 1/2,25,Y,1.03085566287682,1,-149.718225500835
Matern 1/2,25,Z,0.000253966523847279,1,-40.2925208699502
Matern 3/2,25,X,0.000137081988175951,0.996,-11.427566236139
Matern 3/2,25,Y,1.03085806039489,1,-149.718227062487
Matern 3/2,25,Z,0.000142974681163703,0.976,-12.8169338938423
Matern 5/2,25,X,0.000126351510095028,0.996,8.40927670794248
Matern 5/2,25,Y,1.03085865791541,1,-149.718227059618
Matern 5/2,25,Z,0.000132806133204552,0.966,5.32309913284921
RatQuad,25,X,0.000134521280609422,0.996,16.2543303303174
RatQuad,25,Y,1.03085872119715,1,-149.718227062147
RatQuad,25,Z,0.000152671699838682,0.96,8.17168877032275
SqExp,50,X,5.14443256868899e-05,0.998,25.9437545959838
SqExp,50,Y,1.00563527376516,1,-299.436102343885
SqExp,50,Z,5.41661444557767e-05,1,4.33353945601794
Matern 1/2,50,X,5.02742294644736e-05,1,-94.6199592575626
Matern 1/2,50,Y,1.00562995665754,1,-299.436102341137
Matern 1/2,50,Z,9.43033662005996e-05,1,-117.659741800242
Matern 3/2,50,X,3.35611477685392e-05,1,-73.6700658896837
Matern 3/2,50,Y,1.00563511346151,1,-299.43610234301
Matern 3/2,50,Z,7.28067647853948e-05,1,-71.1722840703075
Matern 5/2,50,X,3.50616919136483e-05,1,-35.2386148296362
Matern 5/2,50,Y,1.00563523603798,1,-299.436102342291
Matern 5/2,50,Z,5.43166523481485e-05,1,-32.4788069045471
RatQuad,50,X,5.15573235338673e-05,0.998,6.92739779590313
RatQuad,50,Y,1.00563526274917,1,-299.436102338556
RatQuad,50,Z,5.19206098436365e-05,1,0.391207224109394
