Kernel,N,State,RMSE,MAE,R2
SqExp,5,X,0.0135190381229227,0.00825706272972732,0.965483300684759
SqExp,5,Y,7.00406684680422e-06,4.47844618480483e-06,-0.648042991956669
SqExp,5,Z,0.0135125352174441,0.00825342095136021,0.965521372713044
Matern 1/2,5,X,0.0133524305436785,0.00793150057185945,0.96632882058111
Matern 1/2,5,Y,7.00406702896816e-06,4.47844559966771e-06,-0.648043077682295
Matern 1/2,5,Z,0.0133460080510942,0.00792812137187234,0.966365958629379
Matern 3/2,5,X,0.0142015569296438,0.00847461346206561,0.961910121089411
Matern 3/2,5,Y,7.00406697575259e-06,4.47844596052012e-06,-0.648043052639258
Matern 3/2,5,Z,0.0141942645214825,0.00847050884117154,0.961954606720384
Matern 5/2,5,X,0.0131858589539215,0.00849245408738437,0.967163676502528
Matern 5/2,5,Y,7.00406693235137e-06,4.47844607321408e-06,-0.648043032214818
Matern 5/2,5,Z,0.0131784032506435,0.00848805175282863,0.967205435038278
RatQuad,5,X,0.0131835536215243,0.00797534098529504,0.967175157290134
RatQuad,5,Y,7.00406676053142e-06,4.4784460934198e-06,-0.648042951357032
RatQuad,5,Z,0.0131768536709729,0.00797153574715113,0.967213146868384
SqExp,10,X,0.00290789466224305,0.00171310571686395,0.998403036410683
SqExp,10,Y,5.95641024977643e-06,3.68708610862198e-06,-0.191892746265633
SqExp,10,Z,0.00290276452448359,0.00171055721728942,0.998408891108698
Matern 1/2,10,X,0.00416951627595106,0.00175185420364409,0.996716711687101
Matern 1/2,10,Y,5.95640936523975e-06,3.6870843431366e-06,-0.191892392269609
Matern 1/2,10,Z,0.00416456162082499,0.00175017789939679,0.996724973081
Matern 3/2,10,X,0.00318383802863788,0.00125510510338908,0.998085569496949
Matern 3/2,10,Y,5.95640977701999e-06,3.68708531915698e-06,-0.191892557066122
Matern 3/2,10,Z,0.0031788412725181,0.00125324808827351,0.998091843570074
Matern 5/2,10,X,0.00236951437485849,0.000972796239580745,0.998939632595118
Matern 5/2,10,Y,5.95640995536682e-06,3.68708565368818e-06,-0.191892628441423
Matern 5/2,10,Z,0.00236476250598628,0.00097101659564937,0.998944030557496
RatQuad,10,X,0.00218256245357634,0.00103867789992515,0.999100355284126
RatQuad,10,Y,5.95641024409626e-06,3.68708606126514e-06,-0.191892743992401
RatQuad,10,Z,0.00217680154488601,0.00103609365235543,0.999105224749474
SqExp,25,X,0.000595822496873017,0.000337287325863832,0.999932954216842
SqExp,25,Y,5.54468676595866e-06,3.76315925479191e-06,-0.0328137368603685
SqExp,25,Z,0.000594257343767795,0.000337298679051105,0.999933315422515
Matern 1/2,25,X,0.000754116488857845,0.000281096689222858,0.999892597461195
Matern 1/2,25,Y,5.54467835618206e-06,3.7631499835298e-06,-0.0328106038696059
Matern 1/2,25,Z,0.000751169898649126,0.000280424444637229,0.999893450199328
Matern 3/2,25,X,0.000497963176194747,0.000145646783216146,0.999953169140286
Matern 3/2,25,Y,5.54468481821134e-06,3.76315723552036e-06,-0.0328130112432423
Matern 3/2,25,Z,0.000495183960424247,0.000144970963609247,0.999953696968359
Matern 5/2,25,X,0.000488487164431618,0.000185288285136444,0.999954934521464
Matern 5/2,25,Y,5.54468642901357e-06,3.76315891293281e-06,-0.0328136113342481
Matern 5/2,25,Z,0.000486331623688492,0.000184797382247352,0.999955337676807
RatQuad,25,X,0.000573840874139115,0.000290189618133295,0.999937809989144
RatQuad,25,Y,5.54468659960406e-06,3.76315908624242e-06,-0.0328136748863286
RatQuad,25,Z,0.000571983939797056,0.000289641752198241,0.999938220561232
SqExp,50,X,0.000395142168367474,0.000230517864967378,0.999970512060196
SqExp,50,Y,5.47694763339319e-06,3.87674809017959e-06,-0.00773223119798216
SqExp,50,Z,0.00039447774972244,0.00023041830364795,0.999970615296477
Matern 1/2,50,X,0.000192272241168851,6.92131803049045e-05,0.999993018144584
Matern 1/2,50,Y,5.47693316350795e-06,3.87673338031929e-06,-0.00772690642533336
Matern 1/2,50,Z,0.000190751711969494,6.88866401842797e-05,0.99999312910712
Matern 3/2,50,X,0.000239707047004267,8.13879420354515e-05,0.999989148262559
Matern 3/2,50,Y,5.47694719712943e-06,3.87674766802829e-06,-0.00773207065708559
Matern 3/2,50,Z,0.000238789026872022,8.12815030070089e-05,0.999989232744458
Matern 5/2,50,X,0.000297823042505697,0.000121128036012474,0.99998324847824
Matern 5/2,50,Y,5.47694753071825e-06,3.87674799132339e-06,-0.00773219341458264
Matern 5/2,50,Z,0.000297068802620172,0.000120965489856007,0.99998333557318
RatQuad,50,X,0.000383269202277946,0.000208114561250559,0.999972257504811
RatQuad,50,Y,5.47694760341302e-06,3.87674806132149e-06,-0.00773222016556363
RatQuad,50,Z,0.000382585554203982,0.000207872613125805,0.999972360293659
