Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,X,0.0344476659166106,1,64.6488679162637
SqExp,5,Y,1.64474690597276,1,-29.9438298006486
SqExp,5,Z,0.0344096700323819,1,0.727790794918894
Matern 1/2,5,X,0.0336038370600524,1,101.8999424662
Matern 1/2,5,Y,1.64474699152693,1,-29.943829838321
Matern 1/2,5,Z,0.0335667732878797,1,2.67227145830046
Matern 3/2,5,X,0.0380136991527678,0.882,50.9121169362031
Matern 3/2,5,Y,1.64474696653398,1,-29.9438298306666
Matern 3/2,5,Z,0.0379693024930564,0.882,0.168423381829779
Matern 5/2,5,X,0.032770650850477,0.816,51.512652604413
Matern 5/2,5,Y,1.64474694615039,1,-29.9438298219026
Matern 5/2,5,Z,0.0327289758317989,0.816,0.190241057863252
RatQuad,5,X,0.032759193024446,1,58.2863324619107
RatQuad,5,Y,1.64474686545432,1,-29.943829792474
RatQuad,5,Z,0.032721279425353,1,0.453058731236966
SqExp,10,X,0.00159376966213832,0.942,39.1520832412161
SqExp,10,Y,1.1895089607731,1,-59.8874615588694
SqExp,10,Z,0.00158792667351895,0.942,-0.291108599384918
Matern 1/2,10,X,0.00327672173627316,1,80.199533053744
Matern 1/2,10,Y,1.18950860748507,1,-59.8874615014051
Matern 1/2,10,Z,0.00326847686516176,1,-3.80646089652316
Matern 3/2,10,X,0.00191060164204454,0.922,12.4315103099136
Matern 3/2,10,Y,1.18950877195199,1,-59.887461067801
Matern 3/2,10,Z,0.00190434011706651,0.922,-0.39784406782665
Matern 5/2,10,X,0.0010582466700723,0.916,17.0635094094446
Matern 5/2,10,Y,1.18950884318454,1,-59.887460763866
Matern 5/2,10,Z,0.00105385750361885,0.916,1.2893797051275
RatQuad,10,X,0.000897845426441935,0.928,23.6387943943462
RatQuad,10,Y,1.18950895850442,1,-59.8874615593791
RatQuad,10,Z,0.000892985700024731,0.928,0.169411637016893
SqExp,25,X,6.69116915919283e-05,0.982,39.8803326233684
SqExp,25,Y,1.03074810938665,1,-149.718227464397
SqExp,25,Z,6.65512083304148e-05,0.982,5.1633012761327
Matern 1/2,25,X,0.000107187733727083,1,-5.75658416743267
Matern 1/2,25,Y,1.03074498266187,1,-149.718225905192
Matern 1/2,25,Z,0.000106336701071185,1,-40.4017350606852
Matern 3/2,25,X,4.67371979949128e-05,0.986,-11.7083176534998
Matern 3/2,25,Y,1.03074738522076,1,-149.718227466845
Matern 3/2,25,Z,4.62104255778991e-05,0.988,-13.2359831187649
Matern 5/2,25,X,4.49753475786145e-05,0.988,8.73001034617998
Matern 5/2,25,Y,1.03074798411158,1,-149.718227463976
Matern 5/2,25,Z,4.4572998546527e-05,0.988,6.26890993441311
RatQuad,25,X,6.20656308340803e-05,0.984,18.4512328222458
RatQuad,25,Y,1.03074804753656,1,-149.718227466505
RatQuad,25,Z,6.16558798899261e-05,0.984,8.66322473877968
SqExp,50,X,2.94289639239142e-05,1,33.0740218662237
SqExp,50,Y,1.00571676673559,1,-299.436103150581
SqExp,50,Z,2.93259341164311e-05,1,2.83924863820616
Matern 1/2,50,X,6.96789170521119e-06,1,-94.7248474550723
Matern 1/2,50,Y,1.00571145261248,1,-299.436103147834
Matern 1/2,50,Z,6.85715109438085e-06,1,-118.347387277642
Matern 3/2,50,X,1.08300339659292e-05,1,-75.1631116345882
Matern 3/2,50,Y,1.00571660651577,1,-299.436103149706
Matern 3/2,50,Z,1.07457210306345e-05,1,-75.9098028558328
Matern 5/2,50,X,1.67180187162281e-05,1,-33.8600756143246
Matern 5/2,50,Y,1.00571672902775,1,-299.436103148987
Matern 5/2,50,Z,1.66310979661571e-05,1,-35.2850328657313
RatQuad,50,X,2.76870101988865e-05,1,5.84221201922288
RatQuad,50,Y,1.00571675572523,1,-299.436103145253
RatQuad,50,Z,2.7584426928155e-05,1,-1.55139237246634
