Kernel,N,State,RMSE,MAE,R2
SqExp,5,X,0.0134462776904934,0.00814544613438015,0.965853843550833
SqExp,5,Y,7.00387159703887e-06,4.4782057958829e-06,-0.647951109474842
SqExp,5,Z,0.0132943321403969,0.00832809966019156,0.966625917232391
Matern 1/2,5,X,0.0134516256314556,0.00818525448212797,0.965826676486799
Matern 1/2,5,Y,7.00387178770021e-06,4.47820521349841e-06,-0.647951199196808
Matern 1/2,5,Z,0.0130987990088302,0.00754368314405891,0.967600430061036
Matern 3/2,5,X,0.0141516500265335,0.0084997583597665,0.96217736048634
Matern 3/2,5,Y,7.00387173128392e-06,4.47820557352091e-06,-0.647951172648264
Matern 3/2,5,Z,0.0142612745298665,0.00853936953915133,0.961594540169615
Matern 5/2,5,X,0.0131403581244235,0.00851020159792048,0.967389904028439
Matern 5/2,5,Y,7.00387168579591e-06,4.47820568554199e-06,-0.647951151242384
Matern 5/2,5,Z,0.0132408269785448,0.00854478557593233,0.966894015289932
RatQuad,5,X,0.0131321574193315,0.00794455967380326,0.967430594294153
RatQuad,5,Y,7.00387150952367e-06,4.47820570371236e-06,-0.647951068291682
RatQuad,5,Z,0.0129919753471715,0.00808817280267606,0.968126726847603
SqExp,10,X,0.00289149809985808,0.00172359918754935,0.99842099503237
SqExp,10,Y,5.95335797141267e-06,3.68638534688333e-06,-0.190671522014476
SqExp,10,Z,0.00302491495152889,0.00178841107638578,0.998272163571577
Matern 1/2,10,X,0.00409090146999355,0.00175230851560666,0.9968393550447
Matern 1/2,10,Y,5.95335711018835e-06,3.6863836204097e-06,-0.190671177524793
Matern 1/2,10,Z,0.0043079421490748,0.00201051635722344,0.996495581097912
Matern 3/2,10,X,0.00312027936048777,0.00136043555174526,0.99816124176547
Matern 3/2,10,Y,5.95335751358354e-06,3.68638457853227e-06,-0.190671338882843
Matern 3/2,10,Z,0.00330882293498218,0.00148889492116558,0.997932605560786
Matern 5/2,10,X,0.00231884812313104,0.00108205506736759,0.998984494492099
Matern 5/2,10,Y,5.95335768700954e-06,3.68638490524849e-06,-0.190671408253231
Matern 5/2,10,Z,0.00256308298329451,0.00123384241396532,0.998759486132344
RatQuad,10,X,0.00284952439410258,0.00162833756667229,0.998466504759969
RatQuad,10,Y,5.95335796486429e-06,3.68638529921235e-06,-0.190671519395124
RatQuad,10,Z,0.00251661488136174,0.00126913719190201,0.998804058848937
SqExp,25,X,0.000952263218311449,0.00072036464623945,0.999828741674468
SqExp,25,Y,5.54498443011705e-06,3.76285223136128e-06,-0.0329246321721866
SqExp,25,Z,0.000889950590189926,0.000595023342143205,0.999850442540309
Matern 1/2,25,X,0.00105291153299616,0.000797234449202202,0.999790626631958
Matern 1/2,25,Y,5.54497603879479e-06,3.76284298339804e-06,-0.0329215058886008
Matern 1/2,25,Z,0.00116087329889745,0.000773870451814003,0.999745524525203
Matern 3/2,25,X,0.000852817472815505,0.000660919488355634,0.999862643298421
Matern 3/2,25,Y,5.54498248691987e-06,3.76285021679487e-06,-0.0329239082113149
Matern 3/2,25,Z,0.000871016040958039,0.000622543657602303,0.999856738796429
Matern 5/2,25,X,0.000818759045111367,0.000639769445462866,0.999873395280466
Matern 5/2,25,Y,5.5449840939502e-06,3.76285189027557e-06,-0.0329245069292716
Matern 5/2,25,Z,0.000839470909192815,0.000540067672262026,0.99986692772224
RatQuad,25,X,0.000844814557730595,0.000650323595827341,0.999865209137666
RatQuad,25,Y,5.5449842641463e-06,3.76285206319239e-06,-0.0329245703378303
RatQuad,25,Z,0.000900069106290682,0.000596600333018713,0.999847022344851
SqExp,50,X,0.000522437848107272,0.000380979857545161,0.999948452579472
SqExp,50,Y,5.47672573107029e-06,3.87740847545258e-06,-0.00765057491498844
SqExp,50,Z,0.000536118194894446,0.000418303499393651,0.999945725306157
Matern 1/2,50,X,0.000516462274995534,0.000411994459872322,0.999949625020577
Matern 1/2,50,Y,5.47671125247186e-06,3.877393755455e-06,-0.00764524715184645
Matern 1/2,50,Z,0.000707392062729365,0.000550865611857082,0.999905507649098
Matern 3/2,50,X,0.000421972641929606,0.000334085492182126,0.999966371595422
Matern 3/2,50,Y,5.47672529456057e-06,3.87740805307823e-06,-0.00765041429009217
Matern 3/2,50,Z,0.000621559131971681,0.000491536993292456,0.999927047329874
Matern 5/2,50,X,0.000431302849165184,0.000331602512677997,0.999964868044175
Matern 5/2,50,Y,5.47672562833851e-06,3.87740837654564e-06,-0.00765053711220443
Matern 5/2,50,Z,0.000536862516334677,0.000413368703988617,0.999945574496645
RatQuad,50,X,0.000523011302705348,0.000382789105509884,0.999948339355176
RatQuad,50,Y,5.47672570107355e-06,3.87740844657971e-06,-0.00765056387692065
RatQuad,50,Z,0.000524887798487715,0.000404212759741699,0.999947975340838
